"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.300158370E1,-7.878485660E1,1.785096462E2,1.438000031E2,NaN,NaN,0.000000000E0,2.976799965E1,2.084914207E0,0.000000000E0
0.000000000E0,4.300158370E1,-7.878485660E1,1.785096462E2,1.438000031E2,NaN,NaN,0.000000000E0,2.976799965E1,2.084914207E0,0.000000000E0
0.000000000E0,4.300158370E1,-7.878485660E1,1.785096462E2,1.438000031E2,NaN,NaN,2.080623912E-2,2.976799965E1,2.084914207E0,0.000000000E0
3.240350110E-1,4.300149780E1,-7.878508390E1,1.784095574E2,1.437000122E2,NaN,NaN,6.799765335E-2,1.278899956E1,1.092697859E0,0.000000000E0
1.748035011E0,4.300110833E1,-7.878485333E1,1.731087841E2,1.384000000E2,4.225869477E-1,1.595599976E2,7.618128221E-2,6.199999809E0,8.100000381E0,1.300000000E1
2.248035011E0,4.300116000E1,-7.878492500E1,1.727088954E2,1.380000000E2,3.222161233E-1,6.188999939E1,7.849027635E-2,4.500000000E0,8.100000381E0,1.400000000E1
2.748035011E0,4.300114167E1,-7.878493833E1,1.721088657E2,1.374000000E2,6.459763646E-1,5.149000168E1,8.020704629E-2,3.000000000E0,8.399999619E0,1.500000000E1
3.248035011E0,4.300112667E1,-7.878493333E1,1.717088373E2,1.370000000E2,8.245850205E-1,5.036000061E1,8.240634815E-2,2.400000095E0,9.000000000E0,1.600000000E1
4.248035011E0,4.300113667E1,-7.878491000E1,1.721088495E2,1.374000000E2,1.299673557E0,5.468000031E1,8.539019921E-2,2.200000048E0,9.899999619E0,1.600000000E1
5.248035011E0,4.300116167E1,-7.878489667E1,1.724088913E2,1.377000000E2,1.883368611E0,4.259999847E1,8.913973440E-2,2.099999905E0,1.139999962E1,1.600000000E1
6.248035011E0,4.300119000E1,-7.878487167E1,1.723089361E2,1.376000000E2,1.875647783E0,4.845999908E1,9.154776055E-2,2.200000048E0,1.310000038E1,1.600000000E1
7.248035011E0,4.300120333E1,-7.878484833E1,1.724089543E2,1.377000000E2,1.589976907E0,5.206000137E1,9.478921645E-2,2.200000048E0,1.269999981E1,1.600000000E1
8.248035011E0,4.300122500E1,-7.878482167E1,1.723089868E2,1.376000000E2,1.182831645E0,5.370000076E1,9.846739328E-2,2.200000048E0,1.330000019E1,1.600000000E1
9.248035011E0,4.300122833E1,-7.878477667E1,1.727089815E2,1.380000000E2,1.704759955E0,1.371399994E2,1.005337732E-1,2.099999905E0,1.380000019E1,1.600000000E1
1.043003501E1,4.300121333E1,-7.878476167E1,1.722089506E2,1.375000000E2,1.866382718E0,1.390099945E2,1.025231549E-1,2.200000048E0,1.389999962E1,1.600000000E1
1.143003501E1,4.300119833E1,-7.878474833E1,1.717089202E2,1.370000000E2,1.709907174E0,1.406300049E2,1.039282760E-1,2.200000048E0,1.410000038E1,1.600000000E1
1.243003501E1,4.300119500E1,-7.878473167E1,1.713089099E2,1.366000000E2,1.195184946E0,1.248000031E2,1.054306397E-1,2.099999905E0,1.410000038E1,1.600000000E1
1.343003501E1,4.300119333E1,-7.878471333E1,1.712089023E2,1.365000000E2,1.528725028E0,1.412700043E2,1.076493078E-1,2.000000000E0,1.419999981E1,1.600000000E1
1.443003501E1,4.300117667E1,-7.878469833E1,1.714088685E2,1.367000000E2,2.176760197E0,1.573600006E2,1.094496457E-1,1.899999976E0,1.350000000E1,1.600000000E1
1.543003501E1,4.300116167E1,-7.878469000E1,1.719088393E2,1.372000000E2,1.207538366E0,1.413099976E2,1.113052549E-1,1.899999976E0,1.260000038E1,1.600000000E1
1.643003501E1,4.300114667E1,-7.878468000E1,1.726088097E2,1.379000000E2,1.805645585E0,1.584799957E2,1.124497682E-1,1.799999952E0,1.139999962E1,1.600000000E1
1.743003501E1,4.300113667E1,-7.878467667E1,1.730087908E2,1.383000000E2,1.427324772E0,1.462899933E2,1.141405054E-1,1.700000048E0,1.080000019E1,1.600000000E1
1.843003501E1,4.300112500E1,-7.878466333E1,1.734087664E2,1.387000000E2,1.360925555E0,1.213199997E2,1.156054615E-1,1.700000048E0,1.030000019E1,1.600000000E1
1.943003501E1,4.300112000E1,-7.878464667E1,1.735087532E2,1.388000000E2,9.918697476E-1,1.110199966E2,1.168094755E-1,1.700000048E0,1.019999981E1,1.600000000E1
2.043003501E1,4.300111333E1,-7.878463500E1,1.736087382E2,1.389000000E2,1.219891667E0,1.049700012E2,1.185648643E-1,1.799999952E0,1.019999981E1,1.600000000E1
2.143003501E1,4.300110500E1,-7.878461667E1,1.738087185E2,1.391000000E2,1.437619209E0,9.287000275E1,1.199328318E-1,1.799999952E0,9.899999619E0,1.600000000E1
2.243003501E1,4.300110667E1,-7.878460000E1,1.738087173E2,1.391000000E2,1.463355303E0,6.738999939E1,1.216516607E-1,1.799999952E0,1.010000038E1,1.600000000E1
2.343003501E1,4.300111167E1,-7.878458000E1,1.738087213E2,1.391000000E2,1.455119729E0,5.709999847E1,1.230790662E-1,1.799999952E0,9.800000191E0,1.600000000E1
2.443003501E1,4.300111833E1,-7.878456500E1,1.738087296E2,1.391000000E2,1.366072774E0,4.559999847E1,1.245426807E-1,1.700000048E0,9.800000191E0,1.600000000E1
2.543003501E1,4.300113000E1,-7.878455667E1,1.738087486E2,1.391000000E2,1.402618051E0,3.185000038E1,1.262965018E-1,1.700000048E0,9.899999619E0,1.600000000E1
2.643003501E1,4.300114500E1,-7.878455000E1,1.738087740E2,1.391000000E2,1.384088039E0,2.786000061E1,1.282697676E-1,1.799999952E0,1.019999981E1,1.600000000E1
2.743003501E1,4.300116167E1,-7.878454167E1,1.739088020E2,1.392000000E2,1.405191660E0,2.125000000E1,1.298483802E-1,1.799999952E0,1.030000019E1,1.600000000E1
2.843003501E1,4.300117500E1,-7.878453500E1,1.739088244E2,1.392000000E2,1.424751163E0,1.907999992E1,1.310323396E-1,1.799999952E0,1.010000038E1,1.600000000E1
2.943003501E1,4.300118500E1,-7.878453000E1,1.737088412E2,1.390000000E2,1.464384675E0,1.514999962E1,1.326109521E-1,1.700000048E0,1.010000038E1,1.600000000E1
3.043003501E1,4.300119833E1,-7.878452333E1,1.736088636E2,1.389000000E2,1.484973669E0,2.047999954E1,1.343019323E-1,1.799999952E0,1.010000038E1,1.600000000E1
3.143003501E1,4.300121167E1,-7.878451333E1,1.735088851E2,1.388000000E2,1.508136153E0,3.127000046E1,1.356795191E-1,1.799999952E0,9.899999619E0,1.600000000E1
3.243003501E1,4.300122167E1,-7.878450333E1,1.736089007E2,1.389000000E2,1.522548318E0,3.974000168E1,1.374602145E-1,1.799999952E0,1.000000000E1,1.600000000E1
3.343003501E1,4.300123333E1,-7.878448833E1,1.737089179E2,1.390000000E2,1.540563583E0,4.654999924E1,1.392409098E-1,1.799999952E0,8.699999809E0,1.600000000E1
3.443003501E1,4.300124500E1,-7.878447333E1,1.741089352E2,1.394000000E2,1.572991133E0,6.272999954E1,1.404594236E-1,1.799999952E0,8.500000000E0,1.600000000E1
3.543003501E1,4.300125000E1,-7.878446000E1,1.745089409E2,1.398000000E2,1.571446896E0,7.341999817E1,1.415594297E-1,1.799999952E0,8.800000191E0,1.600000000E1
3.643003501E1,4.300125167E1,-7.878444667E1,1.748089406E2,1.401000000E2,1.537475228E0,8.050000000E1,1.426437119E-1,1.799999952E0,8.800000191E0,1.600000000E1
3.743003501E1,4.300125167E1,-7.878443333E1,1.747089372E2,1.400000000E2,1.482914686E0,9.101999664E1,1.438807843E-1,1.799999952E0,9.199999809E0,1.600000000E1
3.843003501E1,4.300124167E1,-7.878442667E1,1.748089175E2,1.401000000E2,1.495268106E0,1.473399963E2,1.456346050E-1,1.799999952E0,8.800000191E0,1.600000000E1
3.943003501E1,4.300122667E1,-7.878442000E1,1.748088887E2,1.401000000E2,1.507621408E0,1.478099976E2,1.470982190E-1,1.799999952E0,8.500000000E0,1.600000000E1
4.043003501E1,4.300121500E1,-7.878441167E1,1.749088656E2,1.402000000E2,1.501959443E0,1.493500061E2,1.487880265E-1,1.799999952E0,8.600000381E0,1.600000000E1
4.143003501E1,4.300120000E1,-7.878440833E1,1.751088376E2,1.404000000E2,1.513797998E0,1.790800018E2,1.504614481E-1,1.799999952E0,8.800000191E0,1.600000000E1
4.243003501E1,4.300118500E1,-7.878440667E1,1.755088101E2,1.408000000E2,1.511224389E0,1.794600067E2,1.522152690E-1,1.799999952E0,8.399999619E0,1.600000000E1
4.343003501E1,4.300117000E1,-7.878440000E1,1.757087814E2,1.410000000E2,1.526666164E0,1.757700043E2,1.539690900E-1,1.799999952E0,8.600000381E0,1.600000000E1
4.443003501E1,4.300115500E1,-7.878439333E1,1.755087526E2,1.408000000E2,1.580711961E0,1.675800018E2,1.555992269E-1,1.799999952E0,8.699999809E0,1.600000000E1
4.543003501E1,4.300114167E1,-7.878438500E1,1.756087264E2,1.409000000E2,1.583800316E0,1.441499939E2,1.569014090E-1,1.799999952E0,8.800000191E0,1.600000000E1
4.643003501E1,4.300113167E1,-7.878437667E1,1.757087063E2,1.410000000E2,1.587918043E0,1.401300049E2,1.582789964E-1,1.799999952E0,8.600000381E0,1.600000000E1
4.743003501E1,4.300112167E1,-7.878436667E1,1.757086857E2,1.410000000E2,1.603359699E0,1.311699982E2,1.595118584E-1,1.799999952E0,8.600000381E0,1.600000000E1
4.843003501E1,4.300111333E1,-7.878435667E1,1.755086681E2,1.408000000E2,1.574020505E0,1.242799988E2,1.608524064E-1,1.799999952E0,8.600000381E0,1.600000000E1
4.943003501E1,4.300110833E1,-7.878434167E1,1.752086553E2,1.405000000E2,1.564240813E0,1.089000015E2,1.620862245E-1,1.799999952E0,8.500000000E0,1.600000000E1
5.043003501E1,4.300110667E1,-7.878432667E1,1.749086486E2,1.402000000E2,1.575564742E0,1.049899979E2,1.635885902E-1,1.799999952E0,8.600000381E0,1.600000000E1
5.143003501E1,4.300110833E1,-7.878430833E1,1.746086470E2,1.399000000E2,1.535931110E0,8.044000244E1,1.648224082E-1,1.799999952E0,8.500000000E0,1.600000000E1
5.243003501E1,4.300111000E1,-7.878429333E1,1.743086462E2,1.396000000E2,1.519459963E0,7.555999756E1,1.662498137E-1,1.799999952E0,8.500000000E0,1.600000000E1
5.343003501E1,4.300111667E1,-7.878427833E1,1.743086545E2,1.396000000E2,1.509680271E0,6.840000153E1,1.676761047E-1,1.700000048E0,8.399999619E0,1.600000000E1
5.443003501E1,4.300112500E1,-7.878426500E1,1.741086662E2,1.394000000E2,1.444825292E0,4.277999878E1,1.691397192E-1,1.799999952E0,8.500000000E0,1.600000000E1
5.543003501E1,4.300113667E1,-7.878425667E1,1.738086851E2,1.391000000E2,1.434016109E0,1.307999992E1,1.706033336E-1,1.799999952E0,8.300000191E0,1.600000000E1
5.643003501E1,4.300114833E1,-7.878424833E1,1.735087041E2,1.388000000E2,1.436074972E0,1.715999985E1,1.720669480E-1,1.799999952E0,8.500000000E0,1.600000000E1
5.743003501E1,4.300116000E1,-7.878424000E1,1.733087231E2,1.386000000E2,1.436589718E0,2.571999931E1,1.734729487E-1,1.799999952E0,8.500000000E0,1.600000000E1
5.843003501E1,4.300117167E1,-7.878423333E1,1.729087425E2,1.382000000E2,1.408794761E0,2.862999916E1,1.740914850E-1,1.799999952E0,8.600000381E0,1.600000000E1
5.943003501E1,4.300117667E1,-7.878423000E1,1.730087506E2,1.383000000E2,1.323865533E0,3.589599915E2,NaN,1.799999952E0,8.899999619E0,1.600000000E1
