"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.816498280E-2,2.996621508E1,7.681537061E1,2.549141841E2,2.085884622E2,NaN,NaN,3.365893438E-2,2.334559527E2,3.323318874E0,-1.000000000E0
4.192130566E-1,2.996597598E1,7.681558490E1,2.554222961E2,2.090956595E2,NaN,NaN,3.372337154E-2,3.267520581E1,3.000000000E1,-1.000000000E0
1.729516029E0,2.996597565E1,7.681558545E1,2.554222961E2,2.090956584E2,NaN,NaN,3.420875751E-2,3.240940675E1,3.000000000E1,-1.000000000E0
2.078488946E0,2.996597230E1,7.681558867E1,2.554211249E2,2.090944745E2,NaN,NaN,3.420875751E-2,3.247519362E1,3.000000077E1,-1.000000000E0
2.083963037E0,2.996597230E1,7.681558867E1,2.554211249E2,2.090944745E2,NaN,NaN,3.743569375E-2,3.247521232E1,3.000000077E1,-1.000000000E0
3.287820101E0,2.996598590E1,7.681561826E1,2.482681302E2,2.019415512E2,1.815500498E0,NaN,4.319113230E-2,2.102563014E1,2.015672874E1,-1.000000000E0
4.287806511E0,2.996603396E1,7.681559607E1,2.545404910E2,2.082141056E2,1.815500498E0,NaN,4.382527708E-2,1.661722958E1,3.000000000E0,-1.000000000E0
5.287793040E0,2.996603553E1,7.681560240E1,2.546526370E2,2.083262613E2,9.911249876E-1,3.255301763E2,4.627882259E-2,1.478009418E1,3.000000000E0,-1.000000000E0
6.287779331E0,2.996605649E1,7.681561034E1,2.546202480E2,2.082939649E2,9.911249876E-1,3.249942797E2,4.920268314E-2,1.301130868E1,3.000000000E0,-1.000000000E0
7.287777185E0,2.996603762E1,7.681563148E1,2.545888075E2,2.082624541E2,1.374350429E0,3.260026888E2,5.173357265E-2,1.257275598E1,3.000000000E0,-1.000000000E0
8.287762642E0,2.996606038E1,7.681563160E1,2.546226755E2,2.082964187E2,1.111758590E0,3.274197071E2,5.225029521E-2,7.347555063E0,3.000000000E0,-1.000000000E0
9.538745999E0,2.996605578E1,7.681563229E1,2.545244391E2,2.081981631E2,1.111758590E0,3.243026820E2,5.325111473E-2,6.093898142E0,3.000000000E0,-1.000000000E0
1.053873181E1,2.996604999E1,7.681562434E1,2.545797142E2,2.082534100E2,1.046473145E0,3.243026820E2,5.394801899E-2,4.826567239E0,3.000000000E0,-1.000000000E0
1.153871834E1,2.996605467E1,7.681562915E1,2.545956153E2,2.082693331E2,1.013857126E0,3.243026820E2,5.572842655E-2,4.584704025E0,3.000000000E0,-1.000000000E0
1.253870535E1,2.996604271E1,7.681564143E1,2.543765551E2,2.080502280E2,9.820330739E-1,3.243026820E2,5.592063523E-2,4.423648823E0,3.000000000E0,-1.000000000E0
1.354045475E1,2.996604106E1,7.681564083E1,2.543385712E2,2.080122367E2,9.820330739E-1,3.243026820E2,5.700624225E-2,4.105868638E0,3.000000000E0,-1.000000000E0
1.454046321E1,2.996603139E1,7.681563929E1,2.542764477E2,2.079500716E2,8.601264954E-1,3.243026820E2,5.786752428E-2,3.788265849E0,3.000000000E0,-1.000000000E0
1.554044616E1,2.996603769E1,7.681563409E1,2.542764478E2,2.079500959E2,8.601264954E-1,3.243026794E2,5.854989174E-2,4.748651530E0,3.008438315E0,-1.000000000E0
1.654045558E1,2.996603392E1,7.681562850E1,2.542969727E2,2.079706023E2,8.581562042E-1,3.243026794E2,5.937233309E-2,4.748651530E0,3.122482282E0,-1.000000000E0
1.754046416E1,2.996602759E1,7.681562408E1,2.539849466E2,2.076585473E2,6.323585510E-1,3.243026801E2,6.016913285E-2,4.748651530E0,3.270351495E0,-1.000000000E0
1.854045367E1,2.996602126E1,7.681562021E1,2.539967635E2,2.076703354E2,7.070756555E-1,3.243026799E2,6.118803030E-2,4.748651530E0,3.307427363E0,-1.000000000E0
1.954046285E1,2.996601297E1,7.681561570E1,2.540029130E2,2.076764477E2,7.070756555E-1,3.243026799E2,6.519026729E-2,4.748651530E0,3.113284529E0,-1.000000000E0
2.054047513E1,2.996597702E1,7.681561365E1,2.533800228E2,2.070534040E2,8.233181834E-1,2.151566664E2,6.753699032E-2,4.748651530E0,4.533171671E0,-1.000000000E0
2.154046035E1,2.996595747E1,7.681560449E1,2.533357676E2,2.070090616E2,1.456209898E0,2.298221448E2,6.840714396E-2,4.748651530E0,4.555297177E0,-1.000000000E0
2.254046822E1,2.996595514E1,7.681559587E1,2.532472160E2,2.069204961E2,1.456209898E0,2.492017944E2,6.899222835E-2,4.748651530E0,4.701560932E0,-1.000000000E0
2.354045689E1,2.996595718E1,7.681559027E1,2.531738190E2,2.068471051E2,1.226749420E0,2.709060053E2,6.968216393E-2,4.748651530E0,4.908900097E0,-1.000000000E0
2.454044366E1,2.996595497E1,7.681558357E1,2.532400301E2,2.069133038E2,8.096600771E-1,2.731542598E2,7.108278796E-2,4.748651530E0,4.784079876E0,-1.000000000E0
2.554043078E1,2.996596325E1,7.681557262E1,2.539964819E2,2.076697857E2,8.096600771E-1,2.918738689E2,7.304950664E-2,4.748651530E0,5.451260886E0,-1.000000000E0
2.654041672E1,2.996597767E1,7.681556080E1,2.539698186E2,2.076431781E2,1.096059561E0,2.935198339E2,7.443898463E-2,4.748651530E0,4.567248255E0,-1.000000000E0
2.754040408E1,2.996598895E1,7.681555458E1,2.539653392E2,2.076387436E2,1.116503596E0,2.968217386E2,7.529719693E-2,4.748651530E0,4.253369617E0,-1.000000000E0
2.854039061E1,2.996599635E1,7.681555207E1,2.539431037E2,2.076165384E2,1.096059561E0,2.928070899E2,7.663510433E-2,4.748651530E0,4.006027208E0,-1.000000000E0
2.954037762E1,2.996600831E1,7.681555058E1,2.536016668E2,2.072751515E2,1.045662403E0,3.241932592E2,7.802659905E-2,4.748651530E0,4.408429516E0,-1.000000000E0
3.054036391E1,2.996601758E1,7.681554088E1,2.537635412E2,2.074370607E2,1.045662403E0,3.124705501E2,7.894066458E-2,4.748651530E0,3.947545721E0,-1.000000000E0
3.154035056E1,2.996602450E1,7.681553576E1,2.538844550E2,2.075580015E2,1.028309345E0,3.121655139E2,7.969992867E-2,4.748651530E0,3.639362169E0,-1.000000000E0
3.254033697E1,2.996602914E1,7.681552997E1,2.540190788E2,2.076926423E2,1.028309345E0,3.105522504E2,8.051371204E-2,4.748651530E0,3.594701405E0,-1.000000000E0
3.354032397E1,2.996603506E1,7.681552501E1,2.541969334E2,2.078705196E2,9.930925369E-1,3.100855027E2,8.112917553E-2,4.748651530E0,3.574125296E0,-1.000000000E0
3.454031062E1,2.996603015E1,7.681552205E1,2.540570302E2,2.077305943E2,9.517908096E-1,3.078460203E2,8.441169744E-2,4.748651530E0,3.710215415E0,-1.000000000E0
3.554029751E1,2.996605155E1,7.681549858E1,2.555642752E2,2.092379191E2,6.094452504E-1,2.925829381E2,8.571599353E-2,4.929830855E0,3.515416675E0,-1.000000000E0
3.654028344E1,2.996604099E1,7.681549269E1,2.551884141E2,2.088620105E2,8.580679774E-1,2.933376362E2,8.761840408E-2,4.440654593E0,3.110433255E0,-1.000000000E0
3.754026997E1,2.996602413E1,7.681548934E1,2.548969618E2,2.085704851E2,5.962501475E-1,2.619911538E2,8.874529293E-2,4.606787493E0,3.103150452E0,-1.000000000E0
3.854025674E1,2.996601737E1,7.681549807E1,2.548791129E2,2.085526117E2,4.525077800E-1,NaN,9.029335716E-2,4.687267869E0,3.021351390E0,-1.000000000E0
3.954024386E1,2.996600353E1,7.681549640E1,2.545783929E2,2.082518321E2,6.259718059E-1,2.376481573E2,9.044473600E-2,4.559121329E0,3.000000000E0,-1.000000000E0
4.054023039E1,2.996600294E1,7.681549498E1,2.541766398E2,2.078500758E2,6.934000481E-1,2.253506931E2,9.119843612E-2,4.399768261E0,3.000000000E0,-1.000000000E0
4.154021668E1,2.996599619E1,7.681549427E1,2.540820494E2,2.077554565E2,6.653490263E-1,2.224167193E2,9.208418164E-2,4.282795055E0,3.000000000E0,-1.000000000E0
4.254020393E1,2.996598987E1,7.681548866E1,2.539600154E2,2.076333931E2,8.207651452E-1,2.196121954E2,9.285455903E-2,4.162116054E0,3.000000000E0,-1.000000000E0
