"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.509925842E-3,4.300075395E1,-7.878950233E1,1.867267110E2,1.520173965E2,NaN,NaN,2.187323769E-3,2.121099609E1,3.000000000E1,-1.000000000E0
2.520096302E-2,4.300076766E1,-7.878952161E1,1.867191121E2,1.520097680E2,NaN,NaN,3.396330750E-2,5.707538436E1,3.000358417E1,-1.000000000E0
4.369889498E-1,4.300069126E1,-7.878989813E1,1.848975273E2,1.501882262E2,NaN,NaN,3.416753317E-2,3.570839646E1,3.000000000E1,-1.000000000E0
7.574049234E-1,4.300069310E1,-7.878989817E1,1.848885780E2,1.501792736E2,NaN,NaN,3.416753317E-2,3.575268927E1,3.000000049E1,-1.000000000E0
7.627749443E-1,4.300069310E1,-7.878989817E1,1.848885780E2,1.501792736E2,NaN,NaN,3.461749107E-2,3.575269604E1,3.000000049E1,-1.000000000E0
3.410315990E0,4.300068907E1,-7.878989759E1,1.848915954E2,1.501822984E2,NaN,NaN,4.709551522E-2,3.826582489E1,3.000021589E1,-1.000000000E0
7.690596938E0,4.300069019E1,-7.878974416E1,1.852276653E2,1.505184049E2,NaN,NaN,5.228494095E-2,2.911141574E1,3.000000000E1,-1.000000000E0
1.417555892E1,4.300069376E1,-7.878968053E1,1.854886441E2,1.507793933E2,NaN,NaN,6.133931893E-2,2.708468213E1,3.000000000E1,-1.000000000E0
2.083482194E1,4.300072182E1,-7.878957601E1,1.849892788E2,1.502800037E2,NaN,NaN,6.154519932E-2,2.561014320E1,3.000000000E1,-1.000000000E0
2.600991189E1,4.300072010E1,-7.878957510E1,1.849913769E2,1.502821051E2,NaN,NaN,6.313065676E-2,3.269920582E1,3.000051271E1,-1.000000000E0
2.750071192E1,4.300072091E1,-7.878959456E1,1.852277108E2,1.505184326E2,NaN,NaN,"",2.818478565E1,3.000000000E1,-1.000000000E0
