"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.066743600E-2,4.300643230E1,-7.879950310E1,NaN,NaN,NaN,NaN,5.003575975E-1,6.000000000E2,0.000000000E0,0.000000000E0
1.129156406E0,4.300464725E1,-7.879385460E1,1.762781567E2,1.415607300E2,0.000000000E0,NaN,5.004353348E-1,8.426828384E0,1.341010189E1,0.000000000E0
1.222165989E0,4.300464706E1,-7.879385552E1,1.762360423E2,1.415186157E2,0.000000000E0,NaN,5.070235589E-1,8.895602226E0,1.341010189E1,0.000000000E0
2.231915781E0,4.300462405E1,-7.879393018E1,1.718241543E2,1.371067505E2,5.400000215E-1,1.810000000E2,5.111469656E-1,5.786019325E0,8.824960709E0,1.100000000E1
3.229882239E0,4.300460229E1,-7.879397124E1,1.719737836E2,1.372564087E2,9.300000072E-1,1.921999969E2,5.134711107E-1,4.469613075E0,6.373028755E0,1.600000000E1
4.231483020E0,4.300460170E1,-7.879399981E1,1.708548321E2,1.361374512E2,7.799999714E-1,1.926000061E2,5.151084611E-1,3.790092468E0,4.565295696E0,1.600000000E1
5.230734477E0,4.300460884E1,-7.879401742E1,1.700820833E2,1.353646851E2,7.300000191E-1,1.926999969E2,5.158754570E-1,3.790092468E0,3.484584093E0,1.600000000E1
6.230769425E0,4.300460708E1,-7.879402654E1,1.713701073E2,1.366527100E2,1.320000052E0,3.042000122E2,5.164490080E-1,3.790092468E0,3.206360579E0,1.600000000E1
7.231176560E0,4.300460884E1,-7.879403317E1,1.715700023E2,1.368526001E2,8.299999833E-1,3.092000122E2,5.173982489E-1,3.790092468E0,2.753756046E0,1.600000000E1
8.228023070E0,4.300461377E1,-7.879404270E1,1.712898011E2,1.365723877E2,1.120000005E0,3.111000061E2,5.182163752E-1,3.790092468E0,2.620833397E0,1.600000000E1
9.227131976E0,4.300461744E1,-7.879405142E1,1.718861234E2,1.371687012E2,9.499999881E-1,3.176000061E2,5.191224454E-1,3.790092468E0,2.509479523E0,1.600000000E1
1.022761927E1,4.300462263E1,-7.879406001E1,1.714914206E2,1.367739868E2,1.039999962E0,3.168999939E2,5.201194913E-1,3.790092468E0,2.500000000E0,1.600000000E1
1.122943458E1,4.300462647E1,-7.879407109E1,1.706915645E2,1.359741211E2,8.600000143E-1,2.977000122E2,5.212786649E-1,3.790092468E0,2.500000000E0,1.600000000E1
1.223323645E1,4.300462436E1,-7.879408505E1,1.710780388E2,1.363605957E2,8.500000238E-1,2.672000122E2,5.223006426E-1,3.790092468E0,2.500000000E0,1.600000000E1
1.324199099E1,4.300461759E1,-7.879409355E1,1.714831191E2,1.367656860E2,8.399999738E-1,2.243999939E2,5.233283627E-1,3.790092468E0,2.500000000E0,1.600000000E1
