"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.180923542E0,4.300215352E1,-7.879114800E1,1.660949429E2,1.313826904E2,8.199999928E-1,5.000000000E1,1.879269421E-3,8.744818687E0,1.096453762E1,0.000000000E0
1.531485312E0,4.300216500E1,-7.879113104E1,1.697547494E2,1.350424805E2,8.500000238E-1,5.790000153E1,9.653959432E-3,5.837801933E0,6.886690140E0,1.300000000E1
2.542295624E0,4.300222836E1,-7.879109061E1,1.734513867E2,1.387390137E2,1.120000005E0,5.359999847E1,1.381856504E-2,3.997125626E0,4.857032299E0,1.300000000E1
3.554264166E0,4.300225777E1,-7.879105890E1,1.746599279E2,1.399475098E2,1.360000014E0,5.350000000E1,1.584479863E-2,3.790092468E0,3.099717855E0,2.000000000E1
4.555677290E0,4.300226538E1,-7.879103626E1,1.738344354E2,1.391220093E2,1.429999948E0,5.009999847E1,1.765763376E-2,3.790092468E0,2.564111710E0,2.000000000E1
5.554806509E0,4.300227430E1,-7.879101760E1,1.741998643E2,1.394874268E2,1.460000038E0,4.240000153E1,1.922912497E-2,3.790092468E0,2.500000000E0,2.000000000E1
6.546416925E0,4.300227959E1,-7.879099968E1,1.749226476E2,1.402102051E2,1.389999986E0,5.179999924E1,2.089917470E-2,3.790092468E0,2.500000000E0,2.000000000E1
7.545239997E0,4.300228745E1,-7.879098218E1,1.746166272E2,1.399041748E2,1.340000033E0,7.119999695E1,2.204489336E-2,3.790092468E0,2.500000000E0,2.100000000E1
8.553594841E0,4.300228934E1,-7.879096833E1,1.748378185E2,1.401253662E2,1.090000033E0,9.530000305E1,2.325472719E-2,3.790092468E0,2.500000000E0,2.100000000E1
9.553984007E0,4.300228303E1,-7.879095621E1,1.748132069E2,1.401007690E2,1.370000005E0,1.239000015E2,2.473246326E-2,3.790092468E0,2.500000000E0,2.100000000E1
