Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
5.81E-03,4.29E+01,-7.88E+01,2.13E+02,1.78E+02,NaN,NaN,0.00E+00,1.16E+01,2.35E+01,-1.00E+00
8.33E-03,4.29E+01,-7.88E+01,2.10E+02,1.75E+02,NaN,NaN,0.00E+00,1.16E+01,3.00E+01,-1.00E+00
4.98E-02,4.29E+01,-7.88E+01,2.10E+02,1.75E+02,NaN,NaN,2.68E-03,1.16E+01,3.00E+01,-1.00E+00
6.33E-01,4.29E+01,-7.88E+01,2.15E+02,1.81E+02,0.00E+00,NaN,4.61E-03,1.82E+01,2.40E+01,-1.00E+00
1.68E+00,4.29E+01,-7.88E+01,2.04E+02,1.70E+02,3.40E-01,3.76E+01,5.71E-03,1.33E+01,4.00E+00,-1.00E+00
2.68E+00,4.29E+01,-7.88E+01,2.12E+02,1.78E+02,3.40E-01,1.29E+02,6.56E-03,3.52E+00,3.00E+00,-1.00E+00
3.68E+00,4.29E+01,-7.88E+01,2.14E+02,1.79E+02,4.20E-01,1.25E+02,6.91E-03,3.49E+00,3.00E+00,-1.00E+00
4.68E+00,4.29E+01,-7.88E+01,2.14E+02,1.80E+02,4.30E-01,1.79E+02,7.07E-03,3.50E+00,3.00E+00,-1.00E+00
5.68E+00,4.29E+01,-7.88E+01,2.14E+02,1.80E+02,4.30E-01,2.55E+02,7.71E-03,3.52E+00,3.00E+00,-1.00E+00
6.68E+00,4.29E+01,-7.88E+01,2.14E+02,1.80E+02,4.30E-01,2.86E+02,7.95E-03,3.53E+00,3.00E+00,-1.00E+00
7.68E+00,4.29E+01,-7.88E+01,2.14E+02,1.79E+02,1.60E-01,NaN,8.42E-03,3.53E+00,3.00E+00,-1.00E+00
8.68E+00,4.29E+01,-7.88E+01,2.14E+02,1.79E+02,0.00E+00,NaN,8.81E-03,3.49E+00,3.00E+00,-1.00E+00
9.68E+00,4.29E+01,-7.88E+01,2.13E+02,1.79E+02,0.00E+00,NaN,,3.54E+00,3.00E+00,-1.00E+00
