"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.313538400E-2,4.300233480E1,-7.879122580E1,1.775126020E2,1.428000031E2,NaN,NaN,1.524602344E-2,7.906800079E1,1.103593159E1,0.000000000E0
6.759101350E-1,4.300225333E1,-7.879107500E1,1.666124141E2,1.319000000E2,1.389750000E-2,1.753000069E1,1.524602344E-2,2.000000000E0,1.269999981E1,1.200000000E1
1.172910135E0,4.300225333E1,-7.879107500E1,1.666124141E2,1.319000000E2,5.404583365E-2,3.070000076E1,1.590274913E-2,2.000000000E0,1.050000000E1,1.700000000E1
2.078910135E0,4.300225000E1,-7.879106833E1,1.658124065E2,1.311000000E2,1.297100037E-1,2.052000046E1,1.603828220E-2,1.799999952E0,1.030000019E1,2.600000000E1
2.578910135E0,4.300225000E1,-7.879107000E1,1.660124069E2,1.313000000E2,4.740591645E-1,5.289999962E0,1.672707151E-2,1.600000024E0,1.039999962E1,3.000000000E1
3.078910135E0,4.300225500E1,-7.879106500E1,1.663124146E2,1.316000000E2,8.817191720E-1,4.106000137E1,1.741586080E-2,1.600000024E0,1.050000000E1,3.000000000E1
3.578910135E0,4.300226000E1,-7.879106000E1,1.661124224E2,1.314000000E2,1.158125043E0,4.075999832E1,1.894770237E-2,1.500000000E0,1.080000019E1,2.900000000E1
4.578910135E0,4.300226833E1,-7.879104500E1,1.658124337E2,1.311000000E2,9.182644486E-1,4.647999954E1,2.018055437E-2,1.600000024E0,1.119999981E1,3.300000000E1
5.578910135E0,4.300227667E1,-7.879103500E1,1.655124462E2,1.308000000E2,1.283717275E0,3.472000122E1,2.178772918E-2,1.700000048E0,1.139999962E1,3.400000000E1
6.578910135E0,4.300228833E1,-7.879102333E1,1.650124643E2,1.303000000E2,1.078857780E0,4.254000092E1,2.343828533E-2,1.700000048E0,1.039999962E1,3.600000000E1
7.578910135E0,4.300229833E1,-7.879100833E1,1.641124785E2,1.294000000E2,1.215259194E0,4.693999863E1,2.405681951E-2,1.700000048E0,1.019999981E1,3.600000000E1
8.578910135E0,4.300230333E1,-7.879100500E1,1.635124867E2,1.288000000E2,9.347355366E-1,9.166000366E1,2.475936834E-2,1.700000048E0,1.010000038E1,3.500000000E1
9.578910135E0,4.300230500E1,-7.879099667E1,1.628124876E2,1.281000000E2,9.764280319E-1,1.203399963E2,2.563591686E-2,1.700000048E0,1.019999981E1,3.600000000E1
1.057891014E1,4.300230000E1,-7.879098833E1,1.622124765E2,1.275000000E2,9.661335945E-1,1.397200012E2,2.704191371E-2,1.700000048E0,1.019999981E1,3.600000000E1
1.157891014E1,4.300228833E1,-7.879098167E1,1.627124538E2,1.280000000E2,1.099446654E0,1.508699951E2,2.800737190E-2,1.700000048E0,1.010000038E1,3.600000000E1
1.257891014E1,4.300228000E1,-7.879097833E1,1.640124379E2,1.293000000E2,1.069078088E0,1.449199982E2,2.908093601E-2,1.600000024E0,9.500000000E0,3.600000000E1
1.357891014E1,4.300227167E1,-7.879097167E1,1.651124212E2,1.304000000E2,9.228969216E-1,1.413800049E2,3.001741983E-2,1.500000000E0,9.100000381E0,3.600000000E1
