"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.269357490E-1,4.299725810E1,-7.880105390E1,1.825038752E2,1.478000031E2,NaN,NaN,0.000000000E0,1.496000061E2,5.990760040E1,0.000000000E0
7.036803840E-1,4.299725810E1,-7.880105390E1,1.825038752E2,1.478000031E2,NaN,NaN,1.002389709E0,1.501320038E2,6.001399994E1,0.000000000E0
1.181935749E0,4.300462833E1,-7.879395667E1,1.689174181E2,1.342000000E2,6.691388786E-3,2.015700073E2,1.003223727E0,1.899999976E0,1.820000076E1,1.200000000E1
1.681935749E0,4.300462667E1,-7.879394667E1,1.684174126E2,1.337000000E2,2.367722243E-2,1.743800049E2,1.003773901E0,2.099999905E0,1.800000000E1,2.000000000E1
2.181935749E0,4.300462333E1,-7.879395167E1,1.682174079E2,1.335000000E2,6.485500187E-2,1.838500061E2,1.003959226E0,2.000000000E0,1.810000038E1,2.300000000E1
2.681935749E0,4.300462500E1,-7.879395167E1,1.682174109E2,1.335000000E2,1.235333309E-1,1.674600067E2,1.003959226E0,1.899999976E0,1.789999962E1,2.400000000E1
3.181935749E0,4.300462500E1,-7.879395167E1,1.684174109E2,1.337000000E2,2.414047271E-1,1.708099976E2,1.004287580E0,1.799999952E0,1.839999962E1,2.500000000E1
4.181935749E0,4.300462333E1,-7.879395500E1,1.687174087E2,1.340000000E2,3.865563869E-1,1.979199982E2,1.004906110E0,1.700000048E0,1.820000076E1,2.500000000E1
6.055935749E0,4.300461833E1,-7.879395833E1,1.687174005E2,1.340000000E2,2.604494393E-1,3.182099915E2,1.005479023E0,1.600000024E0,1.739999962E1,2.800000000E1
7.055935749E0,4.300462000E1,-7.879396500E1,1.687174052E2,1.340000000E2,6.403144598E-1,3.157600098E2,1.006167803E0,1.600000024E0,1.560000038E1,2.800000000E1
8.055935749E0,4.300462500E1,-7.879397000E1,1.691174155E2,1.344000000E2,8.837780356E-1,3.229100037E2,1.007315770E0,1.600000024E0,1.550000000E1,2.800000000E1
9.055935749E0,4.300463333E1,-7.879397833E1,1.689174326E2,1.342000000E2,9.450299740E-1,3.356000061E2,1.008161249E0,1.500000000E0,1.530000019E1,2.800000000E1
1.005593575E1,4.300464000E1,-7.879398333E1,1.687174459E2,1.340000000E2,1.070107460E0,3.266700134E2,1.009307076E0,1.500000000E0,1.469999981E1,2.800000000E1
1.105593575E1,4.300464333E1,-7.879399667E1,1.683174552E2,1.336000000E2,9.074552655E-1,3.043200073E2,1.009984715E0,1.500000000E0,1.430000019E1,2.800000000E1
1.205593575E1,4.300464333E1,-7.879400500E1,1.682174573E2,1.335000000E2,8.981902599E-1,2.507599945E2,1.011520906E0,1.500000000E0,1.439999962E1,2.800000000E1
1.305493575E1,4.300464000E1,-7.879402333E1,1.679174559E2,1.332000000E2,9.733397365E-1,2.359199982E2,1.012621254E0,1.500000000E0,1.410000038E1,3.100000000E1
1.405493575E1,4.300463333E1,-7.879403333E1,1.677174464E2,1.330000000E2,8.250997066E-1,1.960899963E2,1.013765764E0,1.500000000E0,1.419999981E1,3.200000000E1
1.505493575E1,4.300462333E1,-7.879403667E1,1.674174292E2,1.327000000E2,1.240480542E0,1.723399963E2,1.015063038E0,1.399999976E0,1.410000038E1,3.300000000E1
1.605493575E1,4.300461167E1,-7.879403667E1,1.673174081E2,1.326000000E2,8.909841776E-1,1.741100006E2,1.016367372E0,1.399999976E0,1.369999981E1,3.400000000E1
1.705493575E1,4.300460000E1,-7.879403833E1,1.670173875E2,1.323000000E2,9.826047421E-1,1.644400024E2,1.017293997E0,1.399999976E0,1.369999981E1,3.400000000E1
1.805493575E1,4.300459167E1,-7.879403833E1,1.666173725E2,1.319000000E2,7.844366431E-1,1.573600006E2,1.018405946E0,1.399999976E0,1.310000038E1,3.400000000E1
1.905493575E1,4.300458167E1,-7.879403833E1,1.664173545E2,1.317000000E2,8.631891608E-1,1.931699982E2,1.019251425E0,1.399999976E0,1.289999962E1,3.400000000E1
2.005493575E1,4.300457500E1,-7.879404333E1,1.662173437E2,1.315000000E2,6.006808281E-1,2.468099976E2,1.019824339E0,1.399999976E0,1.260000038E1,3.400000000E1
2.105493575E1,4.300457333E1,-7.879405000E1,1.660173424E2,1.313000000E2,8.709099889E-1,2.726700134E2,1.020658358E0,1.399999976E0,1.239999962E1,3.400000000E1
2.205493575E1,4.300457500E1,-7.879406000E1,1.659173479E2,1.312000000E2,8.662775159E-1,2.932399902E2,1.021676888E0,1.299999952E0,1.230000019E1,3.400000000E1
2.305493575E1,4.300457833E1,-7.879407167E1,1.658173568E2,1.311000000E2,8.667922020E-1,3.131499939E2,1.022661952E0,1.299999952E0,1.210000038E1,3.400000000E1
2.405493575E1,4.300458333E1,-7.879408167E1,1.658173683E2,1.311000000E2,9.162055850E-1,3.314700012E2,1.023666302E0,1.299999952E0,1.210000038E1,3.400000000E1
2.505493575E1,4.300459000E1,-7.879409000E1,1.658173824E2,1.311000000E2,8.966460824E-1,3.303299866E2,1.024542831E0,1.299999952E0,1.210000038E1,3.400000000E1
2.605493575E1,4.300459500E1,-7.879409833E1,1.658173935E2,1.311000000E2,9.146614075E-1,3.137999878E2,1.025746803E0,1.299999952E0,1.219999981E1,3.400000000E1
