"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.353927612E-3,4.300440359E1,-7.879478486E1,1.762563324E2,1.415391119E2,NaN,NaN,1.524746417E-4,3.260051228E1,4.039309861E0,-1.000000000E0
5.929589272E-2,4.300440402E1,-7.879478307E1,1.762565766E2,1.415393557E2,NaN,NaN,1.524746417E-4,3.717168753E1,4.042096933E0,-1.000000000E0
5.433709621E-1,4.300440402E1,-7.879478307E1,1.762563439E2,1.415391230E2,NaN,NaN,8.542749622E-3,3.728657852E1,4.042113162E0,-1.000000000E0
6.398552656E-1,4.300433116E1,-7.879475628E1,1.767280273E2,1.420109445E2,2.800000012E-1,1.216406250E2,1.181895208E-2,1.312165509E1,1.600000000E1,-1.000000000E0
2.020848870E0,4.300435984E1,-7.879476551E1,1.740556641E2,1.393385272E2,4.499999881E-1,7.488281250E1,1.285004015E-2,4.536025054E0,8.000000000E0,-1.000000000E0
3.020841599E0,4.300436885E1,-7.879476255E1,1.738510132E2,1.391338609E2,4.499999881E-1,9.878906250E1,1.344357236E-2,3.738690073E0,6.000000000E0,-1.000000000E0
4.020835280E0,4.300436969E1,-7.879475534E1,1.726198730E2,1.379027210E2,8.500000238E-1,1.082812500E2,1.435809312E-2,3.535533906E0,6.000000000E0,-1.000000000E0
5.020828009E0,4.300436927E1,-7.879474411E1,1.750944824E2,1.403773340E2,1.080000043E0,1.321875000E2,1.531621161E-2,3.535533906E0,4.000000000E0,-1.000000000E0
6.020822048E0,4.300436328E1,-7.879473564E1,1.750718384E2,1.403547028E2,1.100000024E0,1.480078125E2,1.629983745E-2,3.535533906E0,4.000000000E0,-1.000000000E0
7.021353006E0,4.300435741E1,-7.879472659E1,1.749718018E2,1.402546790E2,1.080000043E0,1.430859375E2,1.718324772E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.021372437E0,4.300435473E1,-7.879471636E1,1.746828613E2,1.399657460E2,1.080000043E0,1.188281250E2,1.829896257E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.021362901E0,4.300435565E1,-7.879470270E1,1.746091309E2,1.398920173E2,1.159999967E0,9.316406250E1,1.952166667E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.002137816E1,4.300435951E1,-7.879468862E1,1.748438110E2,1.401266941E2,1.159999967E0,8.332031250E1,2.058538550E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.102138853E1,4.300436106E1,-7.879467571E1,1.754871826E2,1.407700661E2,1.159999967E0,9.457031250E1,2.147693207E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.202137280E1,4.300435816E1,-7.879466549E1,1.764185181E2,1.417014093E2,1.120000005E0,1.216406250E2,2.248724528E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.302138746E1,4.300435033E1,-7.879465920E1,1.768635864E2,1.421464934E2,1.200000048E0,1.490625000E2,2.368721285E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.402139473E1,4.300434106E1,-7.879465163E1,1.768635866E2,1.421465121E2,1.200000048E0,1.490625052E2,2.489607850E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.502137351E1,4.300433066E1,-7.879464732E1,1.760473024E2,1.413302477E2,1.200000048E0,1.518750047E2,2.586685597E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.602137709E1,4.300432583E1,-7.879463737E1,1.763568117E2,1.416397682E2,1.149999976E0,1.342968819E2,2.708754870E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.702138472E1,4.300432684E1,-7.879462242E1,1.763192140E2,1.416021725E2,1.139999986E0,1.054687592E2,2.833873945E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.802136254E1,4.300432981E1,-7.879460758E1,1.759794923E2,1.412624492E2,1.120000005E0,8.894532187E1,2.949485631E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.902136397E1,4.300433094E1,-7.879459345E1,1.760857545E2,1.413687129E2,1.070000052E0,8.789063394E1,3.070661369E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.002136874E1,4.300432727E1,-7.879457942E1,1.761976320E2,1.414806004E2,1.100000024E0,1.012500090E2,3.195491412E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.102134323E1,4.300431928E1,-7.879456863E1,1.762629396E2,1.415459251E2,1.100000024E0,1.212890704E2,"",4.748651530E0,4.029364438E0,-1.000000000E0
