Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
9.43E-03,0.0000E+00,-7.88E+01,2.10E+02,1.75E+02,NaN,NaN,0.00E+00,1.16E+01,3.00E+01,-1.00E+00
1.08E-02,5.0000E-01,-7.88E+01,2.10E+02,1.75E+02,NaN,NaN,0.00E+00,1.16E+01,3.00E+01,-1.00E+00
4.47E-02,8.6600E-01,-7.88E+01,2.10E+02,1.75E+02,NaN,NaN,1.94E-02,1.16E+01,3.00E+01,-1.00E+00
6.30E-01,8.6600E-01,-7.88E+01,2.16E+02,1.82E+02,1.76E+00,1.11E+02,3.69E-02,1.69E+01,2.40E+01,-1.00E+00
1.77E+00,5.0000E-01,-7.88E+01,2.05E+02,1.70E+02,1.76E+00,2.92E+01,3.87E-02,1.20E+01,4.00E+00,-1.00E+00
2.77E+00,-2.4493E-16,-7.88E+01,2.08E+02,1.73E+02,6.10E-01,1.20E+02,3.94E-02,4.37E+00,4.00E+00,-1.00E+00
3.77E+00,-5.0000E-01,-7.88E+01,2.13E+02,1.79E+02,5.10E-01,1.30E+02,3.96E-02,3.46E+00,3.00E+00,-1.00E+00
4.77E+00,-8.6600E-01,-7.88E+01,2.13E+02,1.79E+02,0.00E+00,1.30E+02,3.99E-02,3.48E+00,3.00E+00,-1.00E+00
5.77E+00,-8.6600E-01,-7.88E+01,2.15E+02,1.80E+02,2.70E-01,NaN,4.06E-02,3.50E+00,3.00E+00,-1.00E+00
6.77E+00,-5.0000E-01,-7.88E+01,2.16E+02,1.81E+02,2.70E-01,2.69E+02,4.12E-02,3.54E+00,3.00E+00,-1.00E+00
7.77E+00,0.0000E+00,-7.88E+01,2.15E+02,1.81E+02,1.80E-01,NaN,4.16E-02,3.54E+00,3.00E+00,-1.00E+00

