"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.064134294E0,4.299949736E1,-7.877747833E1,1.793344340E2,1.446307983E2,5.799999833E-1,1.280000000E2,4.889035721E-1,4.120335579E0,5.025048256E0,2.100000000E1
9.064712988E0,4.299949403E1,-7.877747875E1,1.784414202E2,1.437377930E2,1.090000033E0,1.936000061E2,4.899543424E-1,3.919844389E0,4.568351269E0,2.100000000E1
1.006434736E1,4.299949049E1,-7.877749073E1,1.788420489E2,1.441384277E2,1.360000014E0,2.401000061E2,4.914714548E-1,3.790092468E0,3.988219976E0,2.200000000E1
1.106430480E1,4.299948954E1,-7.877750934E1,1.785122172E2,1.438085938E2,1.340000033E0,2.486000061E2,4.930130264E-1,3.790092468E0,3.656882763E0,2.200000000E1
1.206483542E1,4.299948919E1,-7.877752829E1,1.787957904E2,1.440921631E2,1.360000014E0,2.513999939E2,4.945399645E-1,3.790092468E0,3.577818632E0,2.200000000E1
1.306440984E1,4.299948884E1,-7.877754706E1,1.788829525E2,1.441793213E2,1.330000043E0,2.515000000E2,4.960060229E-1,3.790092468E0,3.328873396E0,2.200000000E1
1.406407869E1,4.299948922E1,-7.877756508E1,1.796339345E2,1.449302979E2,1.279999971E0,2.533000031E2,4.974441839E-1,3.790092468E0,3.079532862E0,2.200000000E1
1.506448577E1,4.299948951E1,-7.877758276E1,1.797485638E2,1.450449219E2,1.320000052E0,2.558999939E2,4.988445828E-1,3.790092468E0,2.859757900E0,2.200000000E1
1.606431447E1,4.299949047E1,-7.877759993E1,1.804681140E2,1.457644653E2,1.279999971E0,2.578999939E2,5.002098266E-1,3.790092468E0,2.688253880E0,2.200000000E1
1.706468326E1,4.299949204E1,-7.877761658E1,1.807971628E2,1.460935059E2,1.210000038E0,2.587999878E2,5.013061130E-1,3.790092468E0,2.547102451E0,2.200000000E1
1.806401196E1,4.299949195E1,-7.877763006E1,1.804942485E2,1.457905884E2,8.999999762E-1,2.505000000E2,5.017728390E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.906474091E1,4.299948950E1,-7.877763472E1,1.804331472E2,1.457294922E2,8.199999928E-1,2.225000000E2,5.025814596E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.006405507E1,4.299948385E1,-7.877762846E1,1.806723889E2,1.459687500E2,1.169999957E0,1.511000061E2,5.041394859E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.106395142E1,4.299947783E1,-7.877761116E1,1.804755918E2,1.457719727E2,1.320000052E0,1.201999969E2,5.058605432E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.206492736E1,4.299947441E1,-7.877759052E1,1.809124064E2,1.462088013E2,1.370000005E0,1.130999985E2,5.075799759E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.306411730E1,4.299947222E1,-7.877756959E1,1.805386773E2,1.458350830E2,1.360000014E0,1.094000015E2,5.093383131E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.406448547E1,4.299947012E1,-7.877754816E1,1.806336372E2,1.459300537E2,1.450000048E0,1.071999969E2,5.110780977E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.506474713E1,4.299946874E1,-7.877752685E1,1.816234354E2,1.469198608E2,1.409999967E0,1.049000015E2,5.128452563E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.606397213E1,4.299946756E1,-7.877750518E1,1.813283219E2,1.466247559E2,1.460000038E0,1.041999969E2,5.145778869E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.706430640E1,4.299946634E1,-7.877748394E1,1.814415336E2,1.467379761E2,1.419999957E0,1.020999985E2,5.160649999E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.806462889E1,4.299946454E1,-7.877746582E1,1.814761924E2,1.467726440E2,1.149999976E0,1.050000000E2,5.167996339E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.906473160E1,4.299946163E1,-7.877745771E1,1.811298084E2,1.464262695E2,7.400000095E-1,1.229000015E2,5.175333510E-1,3.790092468E0,2.500000000E0,2.200000000E1
