"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.220510556E0,4.299955367E1,-7.877742881E1,1.755742510E2,1.408704834E2,1.509999990E0,2.328000031E2,9.337054168E-1,4.276215553E0,5.626049995E0,2.200000000E1
1.022121388E1,4.299954588E1,-7.877745412E1,1.761651798E2,1.414614258E2,1.539999962E0,2.488000031E2,9.358431888E-1,4.072805882E0,5.087870598E0,2.100000000E1
1.122091503E1,4.299953996E1,-7.877747913E1,1.767912695E2,1.420875244E2,1.470000029E0,2.513999939E2,9.378510405E-1,3.795553684E0,4.298115730E0,2.100000000E1
1.222078841E1,4.299953500E1,-7.877750287E1,1.769261505E2,1.422224121E2,1.429999948E0,2.513000031E2,9.397832557E-1,3.790092468E0,3.842774868E0,2.100000000E1
1.322077559E1,4.299952994E1,-7.877752560E1,1.766484943E2,1.419447632E2,1.399999976E0,2.508999939E2,9.416779449E-1,3.790092468E0,3.392843246E0,2.200000000E1
1.422096314E1,4.299952459E1,-7.877754772E1,1.770114623E2,1.423077393E2,1.450000048E0,2.523000031E2,9.435419425E-1,3.790092468E0,3.131932020E0,2.200000000E1
1.522105121E1,4.299951890E1,-7.877756928E1,1.773255400E2,1.426218262E2,1.409999967E0,2.536000061E2,9.452011448E-1,3.790092468E0,2.853327274E0,2.200000000E1
1.622093724E1,4.299951404E1,-7.877758857E1,1.773494582E2,1.426457520E2,1.179999948E0,2.531999969E2,9.463565184E-1,3.790092468E0,2.538556337E0,2.200000000E1
1.722131526E1,4.299950884E1,-7.877760087E1,1.778593967E2,1.431557007E2,6.100000143E-1,2.391000061E2,9.472985486E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.822086197E1,4.299950042E1,-7.877760215E1,1.779559941E2,1.432523193E2,1.139999986E0,1.790000000E2,9.486758237E-1,3.790092468E0,2.531950474E0,2.200000000E1
1.922058817E1,4.299949143E1,-7.877759050E1,1.779674427E2,1.432637939E2,1.450000048E0,1.245999985E2,9.503165981E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.022037676E1,4.299948528E1,-7.877757216E1,1.784538725E2,1.437502441E2,1.480000019E0,1.120999985E2,9.519195008E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.122131904E1,4.299948095E1,-7.877755336E1,1.790311272E2,1.443275146E2,1.509999990E0,1.070999985E2,9.535383182E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.222097367E1,4.299947680E1,-7.877753428E1,1.793263388E2,1.446227417E2,1.480000019E0,1.064000015E2,9.551156328E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.322080273E1,4.299947337E1,-7.877751546E1,1.796297310E2,1.449261475E2,1.470000029E0,1.068000031E2,9.567246497E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.422093392E1,4.299947025E1,-7.877749614E1,1.794146913E2,1.447111206E2,1.519999981E0,1.058000031E2,9.583241250E-1,3.790092468E0,2.525728464E0,2.200000000E1
2.522097168E1,4.299946730E1,-7.877747689E1,1.797795470E2,1.450759888E2,1.450000048E0,1.038000031E2,9.597257806E-1,3.790092468E0,2.508125782E0,2.200000000E1
2.622103288E1,4.299946424E1,-7.877746017E1,1.798452088E2,1.451416626E2,1.220000029E0,1.068000031E2,9.606420201E-1,3.790092468E0,2.527743101E0,2.200000000E1
2.722060646E1,4.299945884E1,-7.877745166E1,1.802767113E2,1.455731812E2,8.899999857E-1,1.283000031E2,9.617023662E-1,3.790092468E0,2.501134157E0,2.200000000E1
2.822086646E1,4.299944965E1,-7.877745514E1,1.804779826E2,1.457744751E2,1.320000052E0,1.901999969E2,9.633796959E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.922099213E1,4.299944093E1,-7.877747197E1,1.798728619E2,1.451693726E2,1.529999971E0,2.363999939E2,9.653808437E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.022098848E1,4.299943576E1,-7.877749554E1,1.799018463E2,1.451983643E2,1.620000005E0,2.498999939E2,9.674027856E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.122094811E1,4.299943254E1,-7.877752001E1,1.796677744E2,1.449642944E2,1.600000024E0,2.538000031E2,9.693853253E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.222102764E1,4.299942937E1,-7.877754400E1,1.797407094E2,1.450372314E2,1.639999986E0,2.538000031E2,9.713496597E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.322118894E1,4.299942644E1,-7.877756782E1,1.794752049E2,1.447717285E2,1.639999986E0,2.536000061E2,9.732613991E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.422058117E1,4.299942337E1,-7.877759095E1,1.798213943E2,1.451179199E2,1.600000024E0,2.548000031E2,9.749157611E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.522063299E1,4.299942005E1,-7.877761078E1,1.796555583E2,1.449520874E2,1.320000052E0,2.523000031E2,9.758866590E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.622073705E1,4.299941566E1,-7.877762110E1,1.800198074E2,1.453163452E2,7.300000191E-1,2.381999969E2,9.767254250E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.722106657E1,4.299940813E1,-7.877762049E1,1.801342289E2,1.454307861E2,1.230000019E0,1.823000031E2,9.782974860E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.822050522E1,4.299939907E1,-7.877760565E1,1.799644021E2,1.452609863E2,1.649999976E0,1.234000015E2,9.803003127E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.922055302E1,4.299939330E1,-7.877758232E1,1.801720230E2,1.454686279E2,1.649999976E0,1.081999969E2,9.822394936E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.022060370E1,4.299938946E1,-7.877755906E1,1.804303691E2,1.457269897E2,1.600000024E0,1.041999969E2,9.840808352E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.122129041E1,4.299938647E1,-7.877753679E1,1.805743988E2,1.458710327E2,1.580000043E0,1.035000000E2,9.858779857E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.222099082E1,4.299938361E1,-7.877751504E1,1.805815271E2,1.458781738E2,1.580000043E0,1.050999985E2,9.875627568E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.322063660E1,4.299938048E1,-7.877749477E1,1.807157303E2,1.460123901E2,1.529999971E0,1.060999985E2,9.891385176E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.422062540E1,4.299937702E1,-7.877747598E1,1.805830262E2,1.458796997E2,1.419999957E0,1.071999969E2,9.902425177E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.522069122E1,4.299937249E1,-7.877746390E1,1.808022498E2,1.460989380E2,8.399999738E-1,1.194000015E2,9.909731586E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.622106877E1,4.299936606E1,-7.877746205E1,1.802834951E2,1.455802002E2,1.029999971E0,1.595000000E2,9.922370490E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.722107403E1,4.299935768E1,-7.877747255E1,1.804145798E2,1.457113037E2,1.389999986E0,2.255000000E2,9.940522575E-1,3.790092468E0,2.500000000E0,2.200000000E1
4.822089746E1,4.299935172E1,-7.877749333E1,1.807113837E2,1.460081177E2,1.500000000E0,2.470000000E2,9.960107258E-1,3.790092468E0,2.963163376E0,2.200000000E1
4.922115063E1,4.299934787E1,-7.877751683E1,1.811451566E2,1.464418945E2,1.539999962E0,2.493000031E2,9.979282955E-1,3.790092468E0,2.810872793E0,2.200000000E1
5.022094902E1,4.299934382E1,-7.877753975E1,1.811311139E2,1.464278564E2,1.519999981E0,2.516999969E2,9.997955824E-1,3.790092468E0,2.801370859E0,2.200000000E1
5.122071505E1,4.299933976E1,-7.877756203E1,1.812686824E2,1.465654297E2,1.529999971E0,2.515000000E2,1.001662089E0,3.790092468E0,2.745139599E0,2.200000000E1
5.222080208E1,4.299933523E1,-7.877758413E1,1.811597896E2,1.464565430E2,1.529999971E0,2.531000061E2,1.003474878E0,3.790092468E0,2.651184320E0,2.100000000E1
5.322090208E1,4.299933126E1,-7.877760575E1,1.806530100E2,1.459497681E2,1.450000048E0,2.545000000E2,1.005079938E0,3.790092468E0,2.681819916E0,2.200000000E1
5.422102603E1,4.299932754E1,-7.877762482E1,1.810618798E2,1.463586426E2,1.169999957E0,2.508999939E2,1.006061593E0,3.790092468E0,2.521580935E0,2.200000000E1
5.522062540E1,4.299932333E1,-7.877763543E1,1.812275821E2,1.465243530E2,7.200000286E-1,2.333000031E2,1.006846178E0,3.790092468E0,2.504884243E0,2.200000000E1
5.622109404E1,4.299931644E1,-7.877763335E1,1.810307866E2,1.463275757E2,1.230000019E0,1.681000061E2,1.008327557E0,3.790092468E0,2.545110464E0,2.200000000E1
5.722126154E1,4.299930921E1,-7.877761805E1,1.807633692E2,1.460601807E2,1.529999971E0,1.185000000E2,1.010192039E0,3.790092468E0,2.550501823E0,2.200000000E1
5.822060106E1,4.299930588E1,-7.877759558E1,1.810027959E2,1.462996216E2,1.570000052E0,1.065999985E2,1.012096130E0,3.790092468E0,2.632602453E0,2.200000000E1
5.922081694E1,4.299930427E1,-7.877757227E1,1.809174587E2,1.462142944E2,1.529999971E0,1.040000000E2,1.013886778E0,3.790092468E0,2.730915308E0,2.200000000E1
6.022047642E1,4.299930228E1,-7.877755042E1,1.809289837E2,1.462258301E2,1.519999981E0,1.045000000E2,1.015594659E0,3.790092468E0,2.761567354E0,2.200000000E1
6.122060693E1,4.299930016E1,-7.877752962E1,1.809322690E2,1.462291260E2,1.419999957E0,1.074000015E2,1.017138453E0,3.790092468E0,2.825831890E0,2.200000000E1
6.222071531E1,4.299929799E1,-7.877751087E1,1.810727005E2,1.463695679E2,1.210000038E0,1.078000031E2,1.017976383E0,3.790092468E0,2.731247663E0,2.200000000E1
6.322097474E1,4.299929779E1,-7.877750057E1,1.807700241E2,1.460668945E2,3.700000048E-1,1.080999985E2,1.018465674E0,3.790092468E0,2.557503939E0,2.200000000E1
6.422039713E1,4.299930145E1,-7.877749723E1,1.807880380E2,1.460848999E2,0.000000000E0,NaN,NaN,3.790092468E0,2.662977695E0,2.200000000E1
