"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.300009530E1,-7.877856100E1,1.805053727E2,1.458000031E2,NaN,NaN,1.562633930E-1,1.276299953E1,1.000000000E0,0.000000000E0
0.000000000E0,4.299874770E1,-7.877801600E1,1.834018615E2,1.487000122E2,NaN,NaN,2.336430603E-1,4.514400101E1,3.684227228E0,0.000000000E0
1.663368970E-1,4.299942090E1,-7.877825700E1,1.817036514E2,1.470000153E2,NaN,NaN,3.008855839E-1,3.094000053E1,2.544406414E0,0.000000000E0
3.946538467E0,4.300001197E1,-7.877843173E1,2.915825058E2,2.568773193E2,0.000000000E0,NaN,3.152734823E-1,2.067993927E1,5.722393036E1,0.000000000E0
4.946630129E0,4.299996377E1,-7.877826754E1,2.508217908E2,2.161167603E2,2.399999946E-1,2.256999969E2,3.195363376E-1,2.053891373E1,5.470238495E1,1.800000000E1
5.946758614E0,4.299993831E1,-7.877822835E1,2.390996087E2,2.043946533E2,6.299999952E-1,2.256999969E2,3.264423739E-1,2.124805641E1,5.249051285E1,2.200000000E1
6.946608870E0,4.299988454E1,-7.877818585E1,2.567339206E2,2.220291138E2,6.600000262E-1,2.256999969E2,3.465713072E-1,2.394541359E1,5.452638626E1,2.200000000E1
7.946707772E0,4.300000618E1,-7.877836916E1,2.224451504E2,1.877399902E2,0.000000000E0,NaN,3.567101350E-1,3.649458313E1,7.858293152E1,2.300000000E1
8.475820898E0,4.299995473E1,-7.877826623E1,2.310375876E2,1.963325806E2,0.000000000E0,NaN,3.738858095E-1,2.952866364E1,5.388772964E1,2.300000000E1
9.475398185E0,4.299988100E1,-7.877808064E1,2.229016096E2,1.881968384E2,8.700000048E-1,1.121999969E2,3.888898364E-1,2.360554695E1,3.926884842E1,2.300000000E1
1.047566339E1,4.299978981E1,-7.877794465E1,2.147871447E2,1.800826416E2,9.800000191E-1,1.123000031E2,3.951061138E-1,2.103375816E1,3.360736084E1,2.300000000E1
1.147543193E1,4.299976104E1,-7.877787911E1,2.093134216E2,1.746090088E2,9.800000191E-1,1.173000031E2,4.007110355E-1,1.934996605E1,2.972171021E1,2.300000000E1
1.247488640E1,4.299973426E1,-7.877782072E1,2.039055013E2,1.692011719E2,1.039999962E0,1.210000000E2,4.050207767E-1,1.777627754E1,2.658381081E1,2.300000000E1
1.347566952E1,4.299971587E1,-7.877777407E1,1.996356670E2,1.649313965E2,1.000000000E0,1.238000031E2,4.091929646E-1,1.670436859E1,2.441580391E1,2.300000000E1
1.447534321E1,4.299969930E1,-7.877772804E1,1.952376027E2,1.605333862E2,1.080000043E0,1.311999969E2,4.117343695E-1,1.561184311E1,2.267914200E1,2.300000000E1
1.547491764E1,4.299968547E1,-7.877770316E1,1.930561034E2,1.583519287E2,9.800000191E-1,1.376000061E2,4.140112164E-1,1.446169472E1,2.104298019E1,2.300000000E1
1.647514826E1,4.299967187E1,-7.877768223E1,1.906928431E2,1.559887085E2,9.499999881E-1,1.563000031E2,4.158909692E-1,1.313050365E1,1.890708542E1,2.300000000E1
