"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.461746553E0,4.299909783E1,-7.877771744E1,1.874693952E2,1.527667236E2,1.599999964E-1,2.258000031E2,7.073690021E-3,1.213408089E1,1.756798363E1,0.000000000E0
2.459873736E0,4.299910041E1,-7.877763053E1,1.882804761E2,1.535778198E2,2.099999934E-1,1.500000000E1,1.059283330E-2,9.231499672E0,1.270730877E1,1.600000000E1
3.460028523E0,4.299909775E1,-7.877758741E1,1.804777240E2,1.457750854E2,0.000000000E0,NaN,1.149981793E-2,8.464501381E0,1.060052109E1,2.100000000E1
4.460617894E0,4.299910235E1,-7.877757820E1,1.771043814E2,1.424017334E2,8.500000238E-1,3.420000000E2,1.336931527E-2,6.639180183E0,7.352220535E0,2.200000000E1
5.460490805E0,4.299911894E1,-7.877757447E1,1.741248088E2,1.394221191E2,1.649999976E0,3.237000122E2,1.457815028E-2,5.769214153E0,6.152770042E0,2.200000000E1
6.460582572E0,4.299912776E1,-7.877758316E1,1.725988936E2,1.378961792E2,1.580000043E0,3.136000061E2,1.679648541E-2,4.893777370E0,4.964157104E0,2.200000000E1
7.460693349E0,4.299914499E1,-7.877759691E1,1.725753207E2,1.378725586E2,1.570000052E0,3.147000122E2,1.799759557E-2,4.277800083E0,4.140891552E0,2.200000000E1
8.460356313E0,4.299915276E1,-7.877760717E1,1.711648207E2,1.364620361E2,1.529999971E0,3.148999939E2,1.905298297E-2,4.041656971E0,3.900568008E0,2.200000000E1
9.460462350E0,4.299916111E1,-7.877761334E1,1.718907348E2,1.371879272E2,1.470000029E0,3.171000061E2,2.027924563E-2,3.854124308E0,3.641015291E0,2.200000000E1
1.046076073E1,4.299916959E1,-7.877762298E1,1.716555905E2,1.369527588E2,1.450000048E0,3.162999878E2,2.143383750E-2,3.790092468E0,3.402795553E0,2.200000000E1
1.146006067E1,4.299917768E1,-7.877763188E1,1.711838728E2,1.364810181E2,1.340000033E0,3.206000061E2,2.254788499E-2,3.790092468E0,3.017785072E0,2.200000000E1
1.246045640E1,4.299918708E1,-7.877763662E1,1.719182731E2,1.372153931E2,1.309999943E0,3.340000000E2,2.373328615E-2,3.790092468E0,2.641606331E0,2.200000000E1
1.346039358E1,4.299919745E1,-7.877763324E1,1.723749028E2,1.376719971E2,1.309999943E0,3.593999939E2,2.520600621E-2,3.790092468E0,2.838720322E0,2.200000000E1
1.446068613E1,4.299920759E1,-7.877762159E1,1.720415519E2,1.373386230E2,1.409999967E0,2.710000038E1,2.689268111E-2,3.790092468E0,3.015658379E0,2.200000000E1
1.546055076E1,4.299921565E1,-7.877760402E1,1.721321443E2,1.374291992E2,1.429999948E0,4.470000076E1,2.856160235E-2,3.790092468E0,3.041993380E0,2.200000000E1
1.646038201E1,4.299922180E1,-7.877758530E1,1.721974019E2,1.374944458E2,1.429999948E0,5.129999924E1,3.020039248E-2,3.790092468E0,2.978151798E0,2.200000000E1
1.746080554E1,4.299922766E1,-7.877756681E1,1.722279909E2,1.375250244E2,1.429999948E0,5.350000000E1,3.177841100E-2,3.790092468E0,2.857578754E0,2.200000000E1
1.845989403E1,4.299923331E1,-7.877754901E1,1.718842509E2,1.371812744E2,1.379999995E0,5.400000000E1,3.327816083E-2,3.790092468E0,2.695360661E0,2.200000000E1
1.945994756E1,4.299923929E1,-7.877753248E1,1.717322845E2,1.370292969E2,1.379999995E0,5.600000000E1,3.483252638E-2,3.790092468E0,2.763446331E0,2.200000000E1
2.046009022E1,4.299924659E1,-7.877751618E1,1.714117425E2,1.367087402E2,1.419999957E0,5.470000076E1,3.650473364E-2,3.790092468E0,2.760495186E0,2.200000000E1
2.146031162E1,4.299925609E1,-7.877750024E1,1.711462599E2,1.364432373E2,1.590000033E0,4.679999924E1,3.856074588E-2,3.790092468E0,3.063421249E0,2.100000000E1
2.246013531E1,4.299926300E1,-7.877747679E1,1.720951242E2,1.373920898E2,2.059999943E0,5.870000076E1,4.041369376E-2,4.042307854E0,3.342418194E0,2.200000000E1
2.345993390E1,4.299926972E1,-7.877745594E1,1.720260444E2,1.373229980E2,1.440000057E0,5.859999847E1,4.212072151E-2,3.790092468E0,3.477606058E0,2.200000000E1
