"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.598070383E-1,4.295160713E1,-7.882976676E1,1.969796292E2,1.623841581E2,NaN,NaN,8.792194728E-3,1.802403657E1,3.000000000E1,-1.000000000E0
3.085516095E0,4.295168616E1,-7.882977009E1,1.957822311E2,1.611865589E2,4.826194346E-1,2.783429270E2,9.890836744E-3,1.413826546E1,1.112168621E1,-1.000000000E0
4.035517216E0,4.295167834E1,-7.882976183E1,1.958156288E2,1.612199786E2,4.826194346E-1,2.776079646E2,1.071522456E-2,1.400000000E1,6.300741879E0,-1.000000000E0
4.985519767E0,4.295167702E1,-7.882975187E1,1.958316492E2,1.612360052E2,4.826194346E-1,3.235332434E2,1.163618505E-2,1.400000000E1,6.195627475E0,-1.000000000E0
5.935521364E0,4.295166884E1,-7.882975366E1,1.958438904E2,1.612482666E2,5.698586702E-1,3.402502568E2,1.261437880E-2,1.400000000E1,7.119870385E0,-1.000000000E0
6.885523200E0,4.295166035E1,-7.882975051E1,1.958534556E2,1.612578543E2,8.345182538E-1,3.211527574E2,1.388021044E-2,1.400000000E1,6.142397247E0,-1.000000000E0
7.835524797E0,4.295165553E1,-7.882973642E1,1.958416173E2,1.612460321E2,9.196106195E-1,2.824879980E2,1.550260451E-2,1.400000000E1,6.097278656E0,-1.000000000E0
8.784803987E0,4.295164720E1,-7.882972005E1,1.958547514E2,1.612591919E2,9.540144205E-1,2.610909663E2,1.666093706E-2,1.441939848E1,1.165381434E1,-1.000000000E0
9.734462261E0,4.295164382E1,-7.882970659E1,1.958735169E2,1.612779697E2,9.540144205E-1,2.386535430E2,1.796154412E-2,1.400000000E1,8.222558292E0,-1.000000000E0
1.068443680E1,4.295163331E1,-7.882969957E1,1.958807249E2,1.612852063E2,1.131436944E0,2.236440792E2,1.987814687E-2,1.135889642E1,1.029885243E1,-1.000000000E0
1.163472021E1,4.295161776E1,-7.882968941E1,1.958911540E2,1.612956776E2,1.249805450E0,2.029969518E2,2.134598072E-2,6.400540132E0,6.214005074E0,-1.000000000E0
1.260937047E1,4.295160459E1,-7.882969050E1,1.958895044E2,1.612940611E2,1.150810838E0,2.148206791E2,2.269774424E-2,6.244210773E0,6.257986795E0,-1.000000000E0
1.360934091E1,4.295159246E1,-7.882968940E1,1.958557306E2,1.612603183E2,1.500372171E0,2.154954359E2,2.406835708E-2,6.608330303E0,6.814285992E0,-1.000000000E0
1.460936022E1,4.295158291E1,-7.882970005E1,1.960281500E2,1.614327589E2,1.472745538E0,2.411502378E2,2.553829933E-2,5.910687808E0,6.215160536E0,-1.000000000E0
1.560929143E1,4.295157651E1,-7.882971585E1,1.960281502E2,1.614327709E2,1.472745538E0,2.411502270E2,2.759756498E-2,5.910687808E0,6.215160536E0,-1.000000000E0
1.660926771E1,4.295157467E1,-7.882974103E1,1.960724600E2,1.614770784E2,1.472745538E0,2.474568326E2,2.999425292E-2,5.991145372E0,6.457487149E0,-1.000000000E0
1.760923934E1,4.295159174E1,-7.882975901E1,1.960755794E2,1.614801495E2,1.349367619E0,2.860452724E2,3.347571834E-2,1.146385027E1,1.252240859E1,-1.000000000E0
1.860921454E1,4.295162294E1,-7.882976263E1,1.960072011E2,1.614116911E2,1.218825102E0,3.348426250E2,3.576323667E-2,7.590371868E0,8.435687831E0,-1.000000000E0
1.960919607E1,4.295164087E1,-7.882977641E1,1.958312481E2,1.612356888E2,1.218825102E0,3.350724639E2,3.684069941E-2,6.654615296E0,7.560524881E0,-1.000000000E0
2.060917962E1,4.295164800E1,-7.882978538E1,1.957641262E2,1.611685464E2,1.218825102E0,3.353514138E2,3.847097117E-2,5.358327470E0,6.199962660E0,-1.000000000E0
2.160916364E1,4.295166122E1,-7.882979404E1,1.956928973E2,1.610972816E2,1.296067119E0,3.399530054E2,3.962191169E-2,6.615036486E0,7.742136360E0,-1.000000000E0
2.260915017E1,4.295167063E1,-7.882979992E1,1.956186704E2,1.610230292E2,1.296067119E0,3.361470820E2,4.092400079E-2,6.467710987E0,7.520287747E0,-1.000000000E0
2.360913849E1,4.295166700E1,-7.882981513E1,1.955601785E2,1.609645422E2,1.122946501E0,2.989269871E2,4.197480429E-2,7.440757435E0,8.749603020E0,-1.000000000E0
2.460912788E1,4.295166020E1,-7.882982410E1,1.955113741E2,1.609157525E2,1.122946501E0,2.614128011E2,4.295361193E-2,6.594580480E0,7.784661172E0,-1.000000000E0
2.560911787E1,4.295165140E1,-7.882982436E1,1.954686834E2,1.608730841E2,9.969319105E-1,2.320198046E2,4.420079074E-2,5.815693378E0,6.858948515E0,-1.000000000E0
