"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.373001099E-3,4.300169493E1,-7.880980901E1,1.806556032E2,1.459394864E2,NaN,NaN,4.522536390E-4,2.513104121E1,5.030637611E0,-1.000000000E0
3.669202328E-2,4.300169467E1,-7.880980345E1,1.806583956E2,1.459422807E2,NaN,NaN,1.061229452E-2,3.446949291E1,5.034725992E0,-1.000000000E0
4.772049189E-1,4.300175579E1,-7.880989633E1,1.802405797E2,1.455243317E2,NaN,NaN,1.111782944E-2,2.557511167E1,3.629217783E0,-1.000000000E0
2.115759015E0,4.300175945E1,-7.880990002E1,1.801099734E2,1.453937179E2,NaN,NaN,2.070679410E-2,2.613698285E1,3.275027570E0,-1.000000000E0
2.604597330E0,4.300184533E1,-7.880991070E1,1.803270482E2,1.456106357E2,2.083966285E-1,NaN,3.381130740E-2,1.747638382E1,1.386132756E1,-1.000000000E0
3.554591775E0,4.300194383E1,-7.880982223E1,1.766139290E2,1.418973618E2,4.310435653E-1,NaN,4.036059268E-2,1.457591962E1,6.686716435E0,-1.000000000E0
4.504586697E0,4.300199228E1,-7.880977644E1,1.764512396E2,1.417345969E2,4.310435653E-1,NaN,4.403389418E-2,1.254369078E1,6.215362337E0,-1.000000000E0
5.454580545E0,4.300202453E1,-7.880978624E1,1.764069929E2,1.416902898E2,4.478817582E-1,9.560540559E1,4.775899878E-2,1.263457692E1,6.120257653E0,-1.000000000E0
6.404574275E0,4.300205724E1,-7.880977633E1,1.763708099E2,1.416540505E2,6.697876453E-1,6.351376935E1,5.687639662E-2,9.610166107E0,1.042594980E1,-1.000000000E0
7.354568958E0,4.300213923E1,-7.880977538E1,1.763772237E2,1.416603172E2,9.140480757E-1,1.076075658E2,5.759373709E-2,1.400000000E1,9.896833036E0,-1.000000000E0
8.305016160E0,4.300213391E1,-7.880977039E1,1.763733741E2,1.416564784E2,9.140480757E-1,1.224562329E2,"",1.400000000E1,6.195503681E0,-1.000000000E0
