#"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.918771029E-1,4.300235827E1,-7.879220648E1,1.766117731E2,1.418988856E2,2.199999988E-1,3.315234375E2,1.572266927E-1,4.480760643E1,1.029166175E1,-1.000000000E0
3.004864573E0,4.300282685E1,-7.879290478E1,1.860637207E2,1.513498132E2,2.199999988E-1,1.624218750E2,1.652908680E-1,4.926182488E0,6.000000000E0,-1.000000000E0
4.004856586E0,4.300285450E1,-7.879292475E1,1.814606934E2,1.467467310E2,3.300000131E-1,1.448437500E2,1.656794739E-1,4.512934757E0,6.000000000E0,-1.000000000E0
5.004849672E0,4.300285100E1,-7.879292487E1,1.810573730E2,1.463434169E2,1.529999971E0,1.490625000E2,1.665351226E-1,3.913802883E0,4.000000000E0,-1.000000000E0
6.004843354E0,4.300284405E1,-7.879292937E1,1.796724243E2,1.449584796E2,1.529999971E0,1.448437500E2,1.679156288E-1,3.418515962E0,3.000000000E0,-1.000000000E0
7.005439043E0,4.300283188E1,-7.879292597E1,1.787358398E2,1.440219179E2,1.529999971E0,1.557421875E2,1.689347196E-1,3.424081125E0,3.000000000E0,-1.000000000E0
8.005447388E0,4.300282308E1,-7.879292947E1,1.784982910E2,1.437843841E2,1.320000052E0,1.560937500E2,1.700215998E-1,3.426978758E0,3.000000000E0,-1.000000000E0
9.005445361E0,4.300282091E1,-7.879291644E1,1.780501709E2,1.433362711E2,2.029999971E0,1.557421875E2,1.705727825E-1,3.460849728E0,3.000000000E0,-1.000000000E0
1.000545192E1,4.300281680E1,-7.879292022E1,1.769491577E2,1.422352644E2,2.029999971E0,1.536328125E2,1.715386143E-1,3.482508725E0,3.000000000E0,-1.000000000E0
1.100545990E1,4.300280862E1,-7.879291622E1,1.768265991E2,1.421127216E2,1.210000038E0,1.536328125E2,1.724357432E-1,3.484909971E0,3.000000000E0,-1.000000000E0
1.200545299E1,4.300280107E1,-7.879291232E1,1.767689819E2,1.420551190E2,1.159999967E0,1.539843750E2,1.734743804E-1,3.499619584E0,3.000000000E0,-1.000000000E0
1.300545430E1,4.300279196E1,-7.879290949E1,1.763354492E2,1.416216034E2,1.110000014E0,1.539843750E2,1.743720850E-1,3.503780626E0,3.000000000E0,-1.000000000E0
1.400545335E1,4.300278444E1,-7.879290549E1,1.763354494E2,1.416216181E2,1.110000014E0,1.539843791E2,1.758243099E-1,2.922716060E0,4.029364438E0,-1.000000000E0
1.500544608E1,4.300277260E1,-7.879289794E1,1.763375857E2,1.416237776E2,1.460000038E0,1.539843804E2,1.771304549E-1,3.036649554E0,4.029364438E0,-1.000000000E0
1.600545073E1,4.300276173E1,-7.879289187E1,1.765294191E2,1.418156322E2,1.269999981E0,1.539843797E2,1.785125073E-1,3.300357949E0,3.943104634E0,-1.000000000E0
1.700545120E1,4.300275017E1,-7.879288562E1,1.766534426E2,1.419396780E2,1.370000005E0,1.582031293E2,1.797489707E-1,3.477988778E0,3.746127017E0,-1.000000000E0
1.800544488E1,4.300274007E1,-7.879287925E1,1.764816896E2,1.417679449E2,1.269999981E0,1.567968792E2,1.808483804E-1,3.619770575E0,5.021316779E0,-1.000000000E0
1.900544536E1,4.300273109E1,-7.879287360E1,1.765842287E2,1.418705015E2,1.129999995E0,1.575000036E2,1.821428602E-1,3.686908566E0,4.916001065E0,-1.000000000E0
2.000544882E1,4.300272065E1,-7.879286656E1,1.762871706E2,1.415734640E2,1.250000000E0,1.546875045E2,1.832524305E-1,3.804548449E0,4.883218593E0,-1.000000000E0
2.100544059E1,4.300271110E1,-7.879286260E1,1.762005617E2,1.414868734E2,1.250000000E0,1.536328171E2,1.845667590E-1,4.748651530E0,3.941429829E0,-1.000000000E0
2.200543058E1,4.300270021E1,-7.879285633E1,1.759222414E2,1.412085743E2,1.250000000E0,1.560937542E2,1.860368543E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.300542152E1,4.300268851E1,-7.879284790E1,1.754254152E2,1.407117713E2,1.320000052E0,1.543359423E2,1.875033548E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.400541162E1,4.300267567E1,-7.879284376E1,1.752712404E2,1.405576207E2,1.370000005E0,1.613671912E2,1.888036653E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.500540257E1,4.300266501E1,-7.879283719E1,1.757592775E2,1.410456787E2,1.370000005E0,1.582031293E2,1.899862134E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.600539446E1,4.300265492E1,-7.879283260E1,1.757543947E2,1.410408152E2,1.269999981E0,1.624218782E2,1.912761105E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.700538552E1,4.300264458E1,-7.879282540E1,1.755416261E2,1.408280671E2,1.269999981E0,1.578515665E2,1.926077479E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.800537622E1,4.300263381E1,-7.879281824E1,1.756588747E2,1.409453368E2,1.309999943E0,1.567968793E2,1.940386280E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.900536776E1,4.300262242E1,-7.879281006E1,1.756190187E2,1.409055035E2,1.379999995E0,1.553906298E2,1.954042904E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.000535870E1,4.300261151E1,-7.879280234E1,1.754945070E2,1.407810133E2,1.379999995E0,1.550390674E2,1.966811957E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.100535095E1,4.300260086E1,-7.879279647E1,1.754697268E2,1.407562537E2,1.379999995E0,1.575000044E2,1.979621555E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.200534177E1,4.300258997E1,-7.879279135E1,1.757615358E2,1.410480837E2,1.360000014E0,1.596093790E2,1.991514103E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.300533354E1,4.300257951E1,-7.879278830E1,1.755816652E2,1.408682327E2,1.240000010E0,1.627734406E2,2.009897943E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.400532579E1,4.300257254E1,-7.879280880E1,1.797720619E2,1.450586368E2,1.045203785E0,1.631637327E2,2.020914972E-1,2.612795795E0,3.000000000E0,-1.000000000E0
3.500531733E1,4.300257068E1,-7.879279549E1,1.799588887E2,1.452454704E2,8.099864308E-1,1.342381594E2,2.032811925E-1,2.407298921E0,3.000000000E0,-1.000000000E0
3.600530946E1,4.300258137E1,-7.879279613E1,1.796746528E2,1.449612151E2,7.435236630E-1,6.965285263E1,2.046253642E-1,2.737818793E0,3.000000000E0,-1.000000000E0
3.700530076E1,4.300259345E1,-7.879279647E1,1.795832916E2,1.448698320E2,8.849523981E-1,3.617232299E1,2.064239551E-1,2.813743986E0,3.000000000E0,-1.000000000E0
3.800529361E1,4.300260881E1,-7.879280344E1,1.796635063E2,1.449500173E2,9.200728658E-1,3.317922319E0,2.084714537E-1,2.730972609E0,3.000000000E0,-1.000000000E0
