"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.417346120E0,4.300268975E1,-7.879162270E1,1.883095093E2,1.535961707E2,8.899999857E-1,2.742187500E2,1.461747397E-1,1.050299635E1,1.600000000E1,-1.000000000E0
2.019063115E0,4.300270017E1,-7.879164025E1,1.878685303E2,1.531551685E2,8.899999857E-1,2.742187500E2,1.474188169E-1,7.881658105E0,1.600000000E1,-1.000000000E0
3.025761008E0,4.300271035E1,-7.879164661E1,1.800743408E2,1.453609591E2,8.899999857E-1,2.742187500E2,1.490638256E-1,6.931182750E0,4.000000000E0,-1.000000000E0
4.019141078E0,4.300271262E1,-7.879162662E1,1.819760742E2,1.472626934E2,6.000000238E-1,2.742187500E2,1.527268315E-1,6.458122911E0,6.000000000E0,-1.000000000E0
4.321720004E0,4.300272277E1,-7.879158376E1,1.778591919E2,1.431458036E2,4.199999869E-1,2.647265625E2,1.540897217E-1,5.389355557E0,6.000000000E0,-1.000000000E0
5.326236129E0,4.300271521E1,-7.879157057E1,1.773093872E2,1.425960158E2,4.199999869E-1,2.053125000E2,1.560680231E-1,5.185477824E0,6.000000000E0,-1.000000000E0
6.297490478E0,4.300270285E1,-7.879155308E1,1.785683594E2,1.438550147E2,1.370000005E0,2.049609375E2,1.576824058E-1,4.628801154E0,6.000000000E0,-1.000000000E0
7.297261477E0,4.300269263E1,-7.879153897E1,1.784892578E2,1.437759351E2,1.379999995E0,1.996875000E2,1.590967556E-1,3.659209978E0,8.000000000E0,-1.000000000E0
8.297010899E0,4.300268026E1,-7.879153494E1,1.787484131E2,1.440351136E2,1.379999995E0,1.912500000E2,1.605381148E-1,3.120622266E0,8.000000000E0,-1.000000000E0
9.296772838E0,4.300266736E1,-7.879153319E1,1.786347046E2,1.439214288E2,1.470000029E0,1.975781250E2,1.619628247E-1,2.789385153E0,8.000000000E0,-1.000000000E0
1.029655445E1,4.300265492E1,-7.879153741E1,1.783206787E2,1.436074243E2,1.470000029E0,2.028515625E2,1.634352822E-1,2.726563639E0,6.000000000E0,-1.000000000E0
1.129633832E1,4.300264270E1,-7.879154436E1,1.779335938E2,1.432203597E2,1.320000052E0,2.021484375E2,1.646626864E-1,2.739586064E0,6.000000000E0,-1.000000000E0
