#"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.533715487E0,4.300278404E1,-7.879285065E1,1.806126709E2,1.458988541E2,7.300000191E-1,9.492187500E1,1.239069973E-1,2.282966762E1,2.400000000E1,-1.000000000E0
2.533707738E0,4.300283268E1,-7.879295429E1,1.806218872E2,1.459079567E2,0.000000000E0,1.110937500E2,1.256358232E-1,1.521793011E1,1.200000000E1,-1.000000000E0
4.533692718E0,4.300285228E1,-7.879298190E1,1.817943726E2,1.470803998E2,3.600000143E-1,1.437890625E2,1.276888630E-1,7.987696244E0,1.200000000E1,-1.000000000E0
5.533686519E0,4.300284807E1,-7.879297679E1,1.825452271E2,1.478312632E2,8.199999928E-1,1.585546875E2,1.280828159E-1,4.902264632E0,6.000000000E0,-1.000000000E0
6.533678055E0,4.300284883E1,-7.879297206E1,1.813063965E2,1.465924324E2,1.120000005E0,1.518750000E2,1.287975818E-1,4.899825975E0,6.000000000E0,-1.000000000E0
7.535429358E0,4.300284403E1,-7.879296622E1,1.803092041E2,1.455952502E2,1.360000014E0,1.466015625E2,1.290488637E-1,3.603405710E0,6.000000000E0,-1.000000000E0
8.535437346E0,4.300284207E1,-7.879296468E1,1.776998291E2,1.429858791E2,1.360000014E0,1.469531250E2,1.304838835E-1,2.948651693E0,4.000000000E0,-1.000000000E0
9.535429835E0,4.300283233E1,-7.879295310E1,1.775535889E2,1.428396593E2,1.409999967E0,1.469531250E2,1.318115385E-1,3.327263726E0,4.000000000E0,-1.000000000E0
1.053543746E1,4.300282226E1,-7.879294434E1,1.775358887E2,1.428219795E2,1.590000033E0,1.462500000E2,1.331370816E-1,3.610002755E0,4.000000000E0,-1.000000000E0
1.153544390E1,4.300281206E1,-7.879293591E1,1.773851929E2,1.426713042E2,1.590000033E0,1.515234375E2,1.344290025E-1,3.709376321E0,4.000000000E0,-1.000000000E0
1.253543854E1,4.300280184E1,-7.879292833E1,1.776646729E2,1.429508045E2,1.379999995E0,1.480078125E2,1.356476682E-1,3.707939081E0,4.000000000E0,-1.000000000E0
1.353544557E1,4.300279267E1,-7.879292014E1,1.776646730E2,1.429508233E2,1.379999995E0,1.480078186E2,1.372253021E-1,2.931280593E0,4.919599343E0,-1.000000000E0
1.453544915E1,4.300278103E1,-7.879290905E1,1.779707033E2,1.432568773E2,1.379999995E0,1.476562562E2,1.387591138E-1,2.944415039E0,4.919163381E0,-1.000000000E0
1.553544390E1,4.300276963E1,-7.879289841E1,1.778679202E2,1.431541173E2,1.559999943E0,1.444921951E2,1.402533254E-1,2.973811593E0,4.513645266E0,-1.000000000E0
1.653544593E1,4.300275872E1,-7.879288768E1,1.774885256E2,1.427747452E2,1.559999943E0,1.444921951E2,1.418392531E-1,3.489684272E0,4.786699067E0,-1.000000000E0
1.853544354E1,4.300273725E1,-7.879286578E1,1.769923708E2,1.422786345E2,1.320000052E0,1.603125037E2,1.444180697E-1,4.128435146E0,4.029364438E0,-1.000000000E0
1.953544974E1,4.300272665E1,-7.879286424E1,1.771511232E2,1.424374064E2,1.299999952E0,1.687500021E2,1.456104290E-1,4.138971833E0,4.029364438E0,-1.000000000E0
2.053545403E1,4.300271647E1,-7.879285967E1,1.771375734E2,1.424238762E2,1.279999971E0,1.617187534E2,1.469761212E-1,4.149337937E0,4.029364438E0,-1.000000000E0
2.153544831E1,4.300270659E1,-7.879286965E1,1.771979372E2,1.424842552E2,1.389999986E0,1.680468774E2,1.482040184E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.253544402E1,4.300269755E1,-7.879286099E1,1.769388429E2,1.422251795E2,1.279999971E0,1.585546914E2,1.494220841E-1,4.748651530E0,4.029364438E0,-1.000000000E0
