"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.027617552E0,4.300024249E1,-7.878383038E1,1.918455130E2,1.571385498E2,8.100000024E-1,2.498000031E2,2.293075566E-3,4.664710045E0,4.874424934E0,1.300000000E1
1.684219584E0,4.300024899E1,-7.878385714E1,1.893010978E2,1.545941162E2,1.080000043E0,2.573999939E2,3.170199123E-3,4.203796387E0,3.763365269E0,1.300000000E1
2.684424166E0,4.300025677E1,-7.878385536E1,1.879617560E2,1.532547607E2,0.000000000E0,NaN,5.128786683E-3,3.790092468E0,3.206163168E0,2.400000000E1
3.684334373E0,4.300024848E1,-7.878387661E1,1.876055452E2,1.528985596E2,1.320000052E0,2.465000000E2,6.998277349E-3,3.790092468E0,2.530444622E0,2.400000000E1
4.684382186E0,4.300024080E1,-7.878389706E1,1.871367254E2,1.524297485E2,1.309999943E0,2.468000031E2,8.854302006E-3,3.790092468E0,2.500000000E0,2.400000000E1
5.684419738E0,4.300023593E1,-7.878391889E1,1.860275302E2,1.513205566E2,1.440000057E0,2.446000061E2,1.070834315E-2,3.790092468E0,2.500000000E0,2.200000000E1
6.684215206E0,4.300022937E1,-7.878393985E1,1.854550139E2,1.507480469E2,1.480000019E0,2.433000031E2,1.220504485E-2,3.790092468E0,2.500000000E0,2.200000000E1
7.684772029E0,4.300022624E1,-7.878395775E1,1.855183062E2,1.508113403E2,1.460000038E0,2.553999939E2,1.351869705E-2,3.790092468E0,2.500000000E0,2.200000000E1
8.684800205E0,4.300022497E1,-7.878397381E1,1.856402562E2,1.509332886E2,1.240000010E0,2.662999878E2,1.490739032E-2,3.790092468E0,2.500000000E0,2.100000000E1
9.684345569E0,4.300022607E1,-7.878399082E1,1.855916175E2,1.508846436E2,1.360000014E0,2.743999939E2,1.637963128E-2,3.790092468E0,2.500000000E0,2.200000000E1
1.068483968E1,4.300023048E1,-7.878400789E1,1.855967567E2,1.508897705E2,1.330000043E0,2.862999878E2,1.788583952E-2,3.790092468E0,2.500000000E0,2.200000000E1
1.168420547E1,4.300023806E1,-7.878402324E1,1.855425750E2,1.508355713E2,1.350000024E0,3.011000061E2,1.944760870E-2,3.790092468E0,2.500000000E0,2.200000000E1
1.268514151E1,4.300024822E1,-7.878403650E1,1.856425723E2,1.509355469E2,1.279999971E0,3.127999878E2,2.100183616E-2,3.790092468E0,2.500000000E0,2.400000000E1
1.368475145E1,4.300025953E1,-7.878404773E1,1.858513358E2,1.511442871E2,1.299999952E0,3.195000000E2,2.245822355E-2,3.790092468E0,2.500000000E0,2.400000000E1
1.468469968E1,4.300027000E1,-7.878405849E1,1.856803369E2,1.509732666E2,1.269999981E0,3.173999939E2,2.391686697E-2,3.790092468E0,2.500000000E0,2.400000000E1
1.568476484E1,4.300028031E1,-7.878406958E1,1.857778925E2,1.510708008E2,1.210000038E0,3.197999878E2,2.534406085E-2,3.790092468E0,2.500000000E0,2.400000000E1
1.668459828E1,4.300028998E1,-7.878408112E1,1.857711990E2,1.510640869E2,1.230000019E0,3.172000122E2,2.683343332E-2,3.790092468E0,2.500000000E0,2.400000000E1
1.768445848E1,4.300029820E1,-7.878409558E1,1.858842546E2,1.511771240E2,1.279999971E0,3.057000122E2,2.819989643E-2,3.790092468E0,2.500000000E0,2.400000000E1
1.868466145E1,4.300030336E1,-7.878411083E1,1.855967921E2,1.508896484E2,1.279999971E0,2.915000000E2,2.947540917E-2,3.790092468E0,2.500000000E0,2.400000000E1
1.968441708E1,4.300030659E1,-7.878412588E1,1.849866333E2,1.502794800E2,1.299999952E0,2.833999939E2,3.066491430E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.068478588E1,4.300030724E1,-7.878414048E1,1.847929126E2,1.500857544E2,1.220000029E0,2.726000061E2,3.170429716E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.168415546E1,4.300030885E1,-7.878415307E1,1.849818835E2,1.502747192E2,1.210000038E0,2.837000122E2,3.289595849E-2,3.790092468E0,2.500000000E0,1.900000000E1
2.268503051E1,4.300030668E1,-7.878416742E1,1.854705307E2,1.507633667E2,1.190000057E0,2.712999878E2,3.413064313E-2,3.790092468E0,2.500000000E0,1.900000000E1
2.368443098E1,4.300030113E1,-7.878418057E1,1.842965738E2,1.495894165E2,1.200000048E0,2.636000061E2,3.568471353E-2,3.790092468E0,2.500000000E0,1.900000000E1
2.468487718E1,4.300028979E1,-7.878419174E1,1.844119125E2,1.497047729E2,1.340000033E0,2.338999939E2,3.706960332E-2,3.790092468E0,2.500000000E0,1.900000000E1
2.568430520E1,4.300028044E1,-7.878420299E1,1.847642544E2,1.500571289E2,1.269999981E0,2.356999969E2,3.845037727E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.668451687E1,4.300027112E1,-7.878421421E1,1.850600168E2,1.503529053E2,1.240000010E0,2.323000031E2,NaN,3.790092468E0,2.500000000E0,2.000000000E1
