"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.535438300E-2,4.300288680E1,-7.879702470E1,NaN,NaN,NaN,NaN,0.000000000E0,6.000000000E2,0.000000000E0,-1.000000000E0
7.048920000E-1,4.300288680E1,-7.879702470E1,NaN,NaN,NaN,NaN,2.938559892E-1,6.048229980E2,0.000000000E0,-1.000000000E0
1.174354383E0,4.300453500E1,-7.879420000E1,1.714173109E2,1.367000000E2,2.033152729E-1,1.109800034E2,2.944745191E-1,2.000000000E0,2.639999962E1,8.000000000E0
1.674354383E0,4.300454000E1,-7.879419667E1,1.714173190E2,1.367000000E2,1.015546918E0,2.338999939E1,2.954788701E-1,2.099999905E0,1.489999962E1,1.500000000E1
2.174354383E0,4.300454667E1,-7.879418833E1,1.714173290E2,1.367000000E2,1.760349989E0,4.208000183E1,2.964832212E-1,2.299999952E0,1.489999962E1,1.900000000E1
2.674354383E0,4.300455333E1,-7.879418000E1,1.714173389E2,1.367000000E2,1.562696695E0,3.160000038E1,2.974197042E-1,2.099999905E0,1.460000038E1,2.000000000E1
3.174354383E0,4.300456167E1,-7.879417833E1,1.723173535E2,1.376000000E2,1.691891909E0,3.693999863E1,2.979919591E-1,1.899999976E0,1.480000019E1,2.200000000E1
4.174354383E0,4.300456667E1,-7.879418000E1,1.734173629E2,1.387000000E2,1.287835002E0,5.120999908E1,2.988856162E-1,1.799999952E0,1.500000000E1,2.600000000E1
5.174354383E0,4.300457000E1,-7.879417000E1,1.737173664E2,1.390000000E2,1.088637471E0,8.311000061E1,3.004218090E-1,1.700000048E0,1.530000019E1,2.600000000E1
6.780354383E0,4.300456667E1,-7.879415167E1,1.730173558E2,1.383000000E2,8.776013851E-1,1.336399994E2,3.012111101E-1,1.700000048E0,1.560000038E1,3.200000000E1
7.780354383E0,4.300456000E1,-7.879414833E1,1.728173430E2,1.381000000E2,8.235555291E-1,1.395800018E2,3.020565896E-1,1.600000024E0,1.389999962E1,3.300000000E1
8.780354383E0,4.300455333E1,-7.879414333E1,1.727173297E2,1.380000000E2,1.149374723E0,1.253099976E2,3.033827331E-1,1.500000000E0,1.319999981E1,3.300000000E1
9.780354383E0,4.300454500E1,-7.879413167E1,1.726173118E2,1.379000000E2,1.179743290E0,1.100500031E2,3.046575572E-1,1.399999976E0,1.300000000E1,3.400000000E1
1.078035438E1,4.300454167E1,-7.879411667E1,1.725173020E2,1.378000000E2,1.266731381E0,7.376999664E1,3.057579059E-1,1.399999976E0,1.230000019E1,3.500000000E1
1.177635438E1,4.300454833E1,-7.879410667E1,1.719173115E2,1.372000000E2,1.418574452E0,2.047999954E1,3.068780840E-1,1.399999976E0,1.169999981E1,3.700000000E1
1.277635438E1,4.300455833E1,-7.879410500E1,1.715173291E2,1.368000000E2,1.475193858E0,1.330000043E0,3.079982621E-1,1.399999976E0,1.169999981E1,3.700000000E1
1.377635438E1,4.300456833E1,-7.879410667E1,1.709173476E2,1.362000000E2,1.519459963E0,3.542200012E2,3.091822138E-1,1.399999976E0,1.150000000E1,3.700000000E1
1.477735438E1,4.300457833E1,-7.879411167E1,1.706173668E2,1.359000000E2,1.141653895E0,3.569599915E2,3.099715149E-1,1.299999952E0,1.119999981E1,3.700000000E1
1.577735438E1,4.300458500E1,-7.879411500E1,1.703173797E2,1.356000000E2,9.002491832E-1,1.136999989E1,3.108169943E-1,1.299999952E0,1.110000038E1,3.700000000E1
1.677735438E1,4.300459167E1,-7.879411000E1,1.703173905E2,1.356000000E2,1.217832804E0,4.675000000E1,3.114946338E-1,1.299999952E0,1.110000038E1,3.700000000E1
1.777735438E1,4.300459167E1,-7.879410167E1,1.702173884E2,1.355000000E2,9.275294542E-1,1.093000031E2,3.122711599E-1,1.299999952E0,1.080000019E1,3.700000000E1
1.877735438E1,4.300458667E1,-7.879409500E1,1.700173777E2,1.353000000E2,8.590713739E-1,1.370399933E2,3.132830607E-1,1.299999952E0,1.100000000E1,3.700000000E1
1.977735438E1,4.300457833E1,-7.879409000E1,1.699173614E2,1.352000000E2,1.226583004E0,1.376000061E2,3.145852230E-1,1.299999952E0,1.119999981E1,3.600000000E1
2.077735438E1,4.300456833E1,-7.879408167E1,1.696173413E2,1.349000000E2,1.208567739E0,1.380599976E2,3.159912121E-1,1.299999952E0,1.100000000E1,3.600000000E1
2.177735438E1,4.300455667E1,-7.879407500E1,1.693173186E2,1.346000000E2,1.199302793E0,1.403099976E2,3.173687727E-1,1.200000048E0,1.110000038E1,3.600000000E1
