"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.487015843E0,4.300200499E1,-7.886023049E1,1.783883362E2,1.436589926E2,4.399999976E-1,3.445312500E2,5.503658411E-4,3.535533906E0,3.000000000E0,-1.000000000E0
4.487000108E0,4.300200989E1,-7.886023141E1,1.783422546E2,1.436129021E2,5.099999905E-1,3.505078125E2,1.163916795E-3,3.535533906E0,3.000000000E0,-1.000000000E0
5.486985326E0,4.300201538E1,-7.886023217E1,1.784178162E2,1.436884537E2,5.000000000E-1,3.505078125E2,1.813965386E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.486970305E0,4.300202121E1,-7.886023284E1,1.785173645E2,1.437879915E2,5.099999905E-1,3.494531250E2,2.500223540E-3,3.535533906E0,3.000000000E0,-1.000000000E0
7.486955643E0,4.300202737E1,-7.886023334E1,1.782655945E2,1.435362104E2,5.699999928E-1,3.476953125E2,3.129931010E-3,3.535533906E0,3.000000000E0,-1.000000000E0
8.486941099E0,4.300203302E1,-7.886023368E1,1.780840149E2,1.433546206E2,6.000000238E-1,3.487500000E2,3.794506236E-3,3.535533906E0,3.000000000E0,-1.000000000E0
9.487041712E0,4.300203898E1,-7.886023443E1,1.782391663E2,1.435097612E2,6.200000048E-1,3.501562500E2,4.478290335E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.048704910E1,4.300204509E1,-7.886023527E1,1.783559875E2,1.436265714E2,6.000000238E-1,3.483984375E2,5.247670621E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.148704016E1,4.300205197E1,-7.886023636E1,1.784661560E2,1.437367274E2,6.200000048E-1,3.498046875E2,6.018070267E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.248704970E1,4.300205888E1,-7.886023695E1,1.784602356E2,1.437307945E2,6.299999952E-1,3.526171875E2,6.828960759E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.348705888E1,4.300206617E1,-7.886023686E1,1.784216003E2,1.436921463E2,6.299999952E-1,3.522656250E2,7.602811816E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.448704779E1,4.300207313E1,-7.886023711E1,1.784966125E2,1.437671461E2,6.200000048E-1,3.554296875E2,8.424012909E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.548705137E1,4.300208051E1,-7.886023661E1,1.784141541E2,1.436846746E2,6.200000048E-1,3.596484375E2,9.044582139E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.648706293E1,4.300208609E1,-7.886023666E1,1.784141541E2,1.436846648E2,6.200000048E-1,3.596484375E2,9.988055276E-3,4.748651530E0,4.029364438E0,-1.000000000E0
1.748705304E1,4.300209441E1,-7.886023441E1,1.784640809E2,1.437345773E2,6.600000262E-1,6.679688142E0,1.089939407E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.848706114E1,4.300210248E1,-7.886023246E1,1.784225159E2,1.436929985E2,6.600000262E-1,8.085938277E0,1.175606984E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.948706830E1,4.300210995E1,-7.886022986E1,1.784842835E2,1.437547534E2,6.600000262E-1,1.230468868E1,1.255167395E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.048705900E1,4.300211684E1,-7.886022721E1,1.785617982E2,1.438322565E2,6.600000262E-1,1.511718894E1,1.329709135E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.148707008E1,4.300212318E1,-7.886022426E1,1.787717591E2,1.440422069E2,6.499999762E-1,1.863281424E1,1.404749393E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.248707807E1,4.300212944E1,-7.886022080E1,1.789804993E2,1.442509369E2,6.499999762E-1,2.074218943E1,1.481420386E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.348706675E1,4.300213541E1,-7.886021609E1,1.789226380E2,1.441930661E2,6.499999762E-1,2.812500256E1,1.548743335E-2,4.748651530E0,4.029364438E0,-1.000000000E0
